,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
175,Quinten Post,C,7-0,250.0,Boston College,Sr,"Mar 21, 2000",Amsterdam,
113,Chas Kelley III,G,6-5,180.0,Boston College,So,-,Houston (TX),Phelps Prep
82,"Claudell Harris, Jr.",GF,6-3,190.0,Boston College,Jr,-,Hahnville (LA),Hahnville High School
242,Jaeden Zackery,G,6-2,215.0,Boston College,Jr,-,Salem (WI),Westosha Central High School
211,Elijah Strong,F,6-8,245.0,Boston College,Fr,-,Charlotte (NC),Myers Park High School
171,Fred Payne,G,6-2,170.0,Boston College,Fr,-,Grambling (LA),Legacy the School of Sport Sciences
102,Asher Jackson,G,6-5,205.0,Boston College,Fr,-,Mundelein (IL),Carmel Catholic High School
51,Jack Di Donna,G,6-0,185.0,Boston College,Fr,-,Boca Raton (FL),Saint Andrew's School
79,"Donald Hand, Jr.",GF,6-5,195.0,Boston College,Fr,-,Virginia Beach (VA),Landstown High School
204,Ethan Soares,GF,6-4,225.0,Boston College,Fr,-,Houston (TX),Memorial High School
141,Armani Mighty,C,6-10,225.0,Boston College,So,-,Thornhill,United Scholastic Academy
128,Mason Madsen,G,6-4,195.0,Boston College,Sr,"May 1, 2001",Rochester (MN),Mayo High School
4,Abe Atiyeh,G,6-0,195.0,Boston College,Sr,-,Bethlehem (PA),Moravian Academy
83,Jayden Hastings,FC,6-9,225.0,Boston College,Fr,-,Orlando (FL),IMG Academy
2,Prince Aligbe,F,6-7,225.0,Boston College,So,-,Minneapolis (MN),Minnehaha Academy
137,Devin McGlockton,F,6-7,215.0,Boston College,Jr,-,Cumming (GA),South Forsyth High School
35,Jack Clark,F,6-8,200.0,Clemson,Sr,"Feb 14, 2000",Wyncote (PA),Cheltenham High School
78,P.J. Hall,PF,6-10,245.0,Clemson,Sr,"Feb 21, 2002",Roebuck (SC),Dorman High School
96,Chase Hunter,SG,6-4,204.0,Clemson,Sr,"Apr 8, 2001",Atlanta (GA),Westlake High School
216,Asa Thomas,F,6-7,185.0,Clemson,Fr,-,Lake Forest (IL),Lake Forest High School
97,Dillon Hunter,GF,6-4,193.0,Clemson,So,"Apr 16, 2003",Atlanta (GA),Sunrise Christian Academy
85,Jake Heidbreder,PG,6-5,180.0,Clemson,Jr,-,Floyds Knobs (IN),Floyd Central High School
86,Alex Hemenway,SG,6-4,195.0,Clemson,Sr,"Jun 17, 2001",Newburgh (IN),Castle High School
115,Matt Kelly,G,6-1,172.0,Clemson,So,-,Charleston (SC),Porter-Gaud High School
72,Joseph Girard III,G,6-1,190.0,Clemson,Sr,"Nov 27, 2000",Glen Falls (NY),Glen Falls High School
153,Daniel Nauseef,F,6-7,215.0,Clemson,Jr,-,Dayton (OH),Chaminade-Julienne High School
122,Andrew Latiff,GF,6-4,175.0,Clemson,Sr,-,Clemson (SC),
199,Ian Schieffelin,F,6-7,230.0,Clemson,Jr,-,Grayson (GA),Grayson High School
233,Chauncey Wiggins,C,6-10,205.0,Clemson,So,-,Loganville (GA),Grayson High School
125,Bas Leyte,PF,6-10,220.0,Clemson,Sr,"Apr 4, 2001",Bergen,New Hampton School
8,Josh Beadle,G,6-3,182.0,Clemson,So,-,Columbia (SC),Cardinal Newman High School
74,R.J. Godfrey,F,6-7,225.0,Clemson,So,-,Suwanee (GA),North Gwinnett High School
178,Tyrese Proctor,PG,6-5,183.0,Duke,So,"Apr 1, 2004",Sydney,NBA Global Academy
200,Jaden Schutt,G,6-5,190.0,Duke,So,"Apr 20, 2003",Yorkville (IL),Yorkville High School
177,T.J. Power,F,6-9,216.0,Duke,Fr,"Sep 23, 2003",Shrewsbury (MA),Worcester Academy
180,Christian Reeves,C,7-1,261.0,Duke,So,"Dec 14, 2003",Charlotte (NC),Oak Hill Academy
135,Jared McCain,G,6-3,197.0,Duke,Fr,"Feb 20, 2004",Corona (CA),Centennial High School
64,Caleb Foster,G,6-5,197.0,Duke,Fr,"Jul 16, 2004",Yanceyville (NC),Notre Dame High School
94,Spencer Hubbard,G,5-8,157.0,Duke,Sr,"Apr 30, 2001",Studio City (CA),Harvard-Westlake School
186,Jeremy Roach,G,6-2,180.0,Duke,Sr,"Nov 1, 2001",Leesburg (VA),Paul VI Catholic High School
62,Kyle Filipowski,C,7-0,248.0,Duke,So,"Nov 7, 2003",Middletown (NY),Wilbraham & Monson Academy
241,Ryan Young,PF,6-10,238.0,Duke,Sr,"Dec 2, 1999",Montreal,Bethlehem Catholic High School
10,Neal Begovich,F,6-9,230.0,Duke,Sr,-,San Francisco (CA),St. Ignatius College Prep
17,Stanley Borden,C,7-0,241.0,Duke,Jr,"Oct 7, 2002",Istanbul,
210,Sean Stewart,F,6-9,227.0,Duke,Fr,"Feb 17, 2005",Orlando (FL),Montverde Academy
13,Jaylen Blakes,G,6-2,204.0,Duke,Jr,"Apr 7, 2003",Somerset (NJ),Blair Academy
147,"Mark Mitchell, Jr.",SF,6-9,232.0,Duke,So,"Sep 1, 2003",Lansing (KS),Sunrise Christian Academy
92,Tom House,F,6-7,200.0,Florida State,So,"Nov 10, 2003",Centerville (OH),Centerville High School
63,Cam'Ron Fletcher,PF,6-7,220.0,Florida State,Sr,"Jul 10, 2001",St. Louis (MO),Vashon High School
66,Jaylan Gainey,F,6-10,220.0,Florida State,Sr,"Dec 12, 1999",Greensboro (NC),Academy At Smith High School
142,Baba Miller,C,6-11,204.0,Florida State,So,"Feb 7, 2004",Palma,
149,R.J. Morris,G,6-3,185.0,Florida State,So,"Oct 24, 2002",Jupiter (FL),Jupiter Community High School
158,Josh Nickelberry,PG,6-5,195.0,Florida State,Sr,"Mar 9, 2001",Fayetteville (NC),Northwood Temple Academy
75,De'Ante Green,F,6-9,210.0,Florida State,So,"Jan 12, 2003",Arden (NC),Asheville Christian Academy
76,"Darin Green, Jr.",SG,6-5,195.0,Florida State,Sr,"Jan 15, 2001",Tampa (FL),Wharton High School
103,Chandler Jackson,PG,6-5,220.0,Florida State,So,"Feb 9, 2004",Memphis (TN),Christian Brothers High School
108,Jesse Jones,G,6-4,195.0,Florida State,Sr,-,Clermont (FL),Montverde Academy
0,Sola Abedisi,F,6-6,205.0,Florida State,Fr,"Apr 1, 2000",Milton (GA),Cambridge High School
134,Waka Mbatch Alhagie,C,6-10,203.0,Florida State,Fr,"Feb 5, 2004",Serekunda,Kotu Senior Secondary School
43,Cam Corhen,PF,6-10,225.0,Florida State,So,"May 1, 2004",Plano (TX),Sunrise Christian Academy
202,Jason Simpson,G,5-10,155.0,Florida State,Jr,"Aug 24, 2002",West Palm Beach (FL),Montverde Academy
228,Jamir Watkins,F,6-7,210.0,Florida State,Sr,"Jul 6, 2001",Trenton (NJ),Trenton Catholic Academy
206,Isaac Spainhour,G,6-3,180.0,Florida State,Jr,"Apr 10, 2001",King (NC),West Stokes High School
18,Taylor Bowen,F,6-10,195.0,Florida State,Fr,"May 21, 2004",Jericho (VT),Brewster Academy
226,Jalen Warley,PG,6-6,200.0,Florida State,Jr,"Feb 9, 2003",Philadelphia (PA),Westtown School
207,Primo Spears,G,6-3,185.0,Florida State,Jr,"Mar 10, 2001",Windsor (CT),Mt. Zion Prep
21,Michael Brown,F,6-7,225.0,Florida State,Jr,"Nov 13, 2001",Fort Washington (MD),Sidwell Friends School
218,Max Thorpe,G,6-2,175.0,Florida State,Jr,"Jun 4, 2001",Clearwater (FL),Countryside High School
37,Tyzhaun Claude,F,6-7,226.0,Georgia Tech,Sr,-,Goldsboro (NC),Goldsboro High School
212,Kyle Sturdivant,PG,6-3,196.0,Georgia Tech,Sr,"Dec 29, 2000",Norcross (GA),Norcross High School
215,Lance Terry,G,6-2,200.0,Georgia Tech,Sr,-,Newnan (GA),The Heritage School
154,Baye Ndongo,PF,6-9,214.0,Georgia Tech,Fr,"Jan 1, 2003",M'Bour,Putnam Science Academy
116,Miles Kelly,F,6-6,175.0,Georgia Tech,Jr,"Jan 26, 2003",Stone Mountain (GA),Hargrave Military Academy
151,Carter Murphy,SG,6-4,205.0,Georgia Tech,Sr,-,Phoenix (AZ),Arcadia High School
1,Amaree Abram,G,6-4,190.0,Georgia Tech,So,"May 22, 2004",Houston (TX),Southern California Academy of Sciences
40,Deebo Coleman,G,6-6,218.0,Georgia Tech,Jr,-,Callahan (FL),West Nassau High School
156,Emmer Nichols,F,6-6,219.0,Georgia Tech,Fr,-,Woodside (CA),Sacred Heart Preparatory
67,Tafara Gapare,GF,6-9,206.0,Georgia Tech,So,"Jun 19, 2003",Manly,South Kent School
195,Ibrahima Sacko,F,6-6,225.0,Georgia Tech,Fr,"Aug 12, 2003",Conakry,J. Addison School
70,Nait George,G,6-3,180.0,Georgia Tech,Fr,-,Toronto,Dream City Christian School
205,Ibrahim Souare,C,6-9,214.0,Georgia Tech,Fr,"Sep 17, 2004",Conakry,Dream City Christian School
46,Brayden Daniels,G,6-4,188.0,Georgia Tech,Jr,-,Louisville (KY),Christian Academy of Louisville
56,Ebenezer Douwana,C,6-11,225.0,Georgia Tech,Sr,-,Accra,The Heritage School
181,"Kowacie Reeves, Jr.",G,6-6,192.0,Georgia Tech,Jr,"Jan 31, 2003",Macon (GA),Westside High School
197,Marcos San Miguel,G,6-4,190.0,Georgia Tech,Fr,-,Atlanta (GA),Campbell High School
104,Mike James,F,6-5,200.0,Louisville,So,-,Apopka (FL),Oak Ridge High School
107,Ty-Laur Johnson,PG,6-0,160.0,Louisville,Fr,"Feb 11, 2004",Newark (NJ),Our Saviour Lutheran School
