,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
124,Sebastian Thomas,G,6-1,180.0,Albany,Jr,-,Providence (RI),Hoosac School
103,Aaron Reddish,GF,6-7,195.0,Albany,Jr,-,West Chester (PA),Pebblebrook High School
79,Zach Matulu,G,6-2,,Albany,Fr,-,Latham (NY),Shaker High School
78,Amar'e Marshall,PG,6-4,207.0,Albany,So,-,Montclair (NJ),Roselle Catholic High School
77,Jack Margoupis,F,6-8,,Albany,Fr,-,Sutton (MA),Cushing Academy
64,Marcus Jackson,G,6-2,180.0,Albany,So,-,Amsterdam (NY),Cushing Academy
54,Bautista Giralt,C,7-0,,Albany,Fr,"Jun 4, 2004",Buenos Aires,
72,Ny'Mire Little,PG,6-4,205.0,Albany,Jr,-,Radnor Township (PA),Westtown School
93,Muneer Newton,GF,6-5,210.0,Albany,Jr,-,Warminster (PA),Archbishop Wood High School
15,Tyler Bertram,SG,6-3,170.0,Albany,Sr,"Jun 14, 2000",Cooperstown (NY),Vermont Academy
13,Jonathan Beagle,FC,6-10,240.0,Albany,So,-,Hudson Falls (NY),St. Thomas More School
91,Justin Neely,F,6-6,210.0,Albany,Jr,-,Orlando (FL),West Oak Academy
1,Zane Adnan,G,6-2,,Albany,Fr,-,Potomac (MD),Bullis Prep High School
134,Mike Walker,F,6-7,225.0,Albany,Fr,-,Brooklyn (NY),Xaverian High School
4,Will Amica,G,6-0,170.0,Albany,Sr,-,Syracuse (NY),West Genesee High School
47,Marcus Filien,F,6-7,210.0,Albany,Sr,-,Rensselaer (NY),Phillips Academy
127,Symir Torrence,G,6-3,195.0,Binghamton,Sr,"Jun 2, 2001",Saxtons River (VT),Vermont Academy
58,Armon Harried,G,6-5,205.0,Binghamton,Sr,"Apr 13, 2001",Baltimore (MD),Lake Clifton High School
28,Tymu Chenery,F,6-6,190.0,Binghamton,Sr,-,Philadelphia (PA),Episcopal Academy
136,Taveion White,F,6-8,220.0,Binghamton,Sr,-,Prosper (TX),Prosper High School
99,Robby Phillips,F,6-5,200.0,Binghamton,So,-,Ridgewood (NJ),St. Mary High School
135,Gavin Walsh,F,6-7,205.0,Binghamton,Fr,-,Baltimore (MD),Bishop Walsh High School
116,Max Sims,G,6-5,185.0,Binghamton,Fr,-,Tampa (FL),IMG Academy
7,Evan Ashe,G,6-3,190.0,Binghamton,Fr,-,Wake Forest (NC),The Winchendon School
121,Masud Stewart,G,6-1,185.0,Binghamton,So,-,New Castle (DE),Neumann-Goretti High School
133,Chris Walker,G,6-6,195.0,Binghamton,So,-,Wellington (FL),Wellington Community High School
14,Nehemiah Benson,F,6-7,215.0,Binghamton,Sr,-,Streetsboro (OH),Streetsboro High School
10,Tariq Balogun,F,6-10,240.0,Binghamton,Sr,"Nov 19, 1999",London,The Miller School of Albemarle
119,Stephan Snagg,F,6-7,200.0,Binghamton,Fr,-,New York (NY),New Hampton School
98,Dan Petcash,G,6-4,205.0,Binghamton,Sr,-,Pittsburgh (PA),Pine-Richland High School
46,Hugo Ferreira,SG,6-0,165.0,Bryant,Sr,"Jul 28, 2001",Vila Nova de Famalicao,Escola Secundaria Dr. Joquim G. Ferreira Alves High School
43,Doug Edert,G,6-2,185.0,Bryant,Sr,"Mar 5, 2000",Nutley (NJ),Bergen Catholic High School
38,Aaron Davis,G,6-6,,Bryant,Fr,-,Jersey City (NJ),Hudson Catholic Regional High School
101,Rafael Pinzon,PG,6-6,190.0,Bryant,Jr,"Nov 8, 2002",Arecibo (PR),Long Island Lutheran High School
96,Josh Ozabor,SF,6-7,220.0,Bryant,Jr,-,Johannesburg,IMG Academy
105,Daniel Rivera,F,6-6,210.0,Bryant,Jr,-,San Juan (PR),Our Saviour Lutheran School
25,Greg Cantwell,G,6-3,165.0,Bryant,Fr,-,Mineola (NY),Chaminade High School
35,Kvonn Cramer,SF,6-7,225.0,Bryant,Sr,-,Wilmington (DE),Mount Pleasant High School
68,Miles Latimer,G,6-6,186.0,Bryant,Sr,"Feb 25, 2000",Fairfax (VA),Paul VI Catholic High School
109,Todd Rochelle,G,6-3,185.0,Bryant,So,-,Queens (NY),St. Francis Preparatory School
84,Keyshawn Mitchell,F,6-8,,Bryant,Fr,-,Hartford (CT),Capital Prep Magnet School
113,John Shannon,F,6-4,200.0,Bryant,So,-,Milford (CT),Joseph A. Foran High School
20,Tyler Brelsford,G,6-4,183.0,Bryant,Sr,-,Ellicott City (MD),Mount Saint Joseph College
126,Earl Timberlake,SG,6-6,220.0,Bryant,Sr,"Nov 4, 2000",Upper Marlboro (MD),DeMatha Catholic High School
67,Timmy Kiggins,G,6-0,180.0,Bryant,Sr,-,Westbury (NY),Holy Trinity Diocesan High School
6,Jason Arukhe,F,6-6,200.0,Bryant,Fr,-,Calgary,IMG Academy
138,Connor Withers,F,6-7,195.0,Bryant,Sr,-,Manassas (VA),Osbourn Park High School
57,Sherif Gross-Bullock,PG,6-5,215.0,Bryant,Sr,"Jul 2, 2000",Arlington (VA),Rezin Orr High School
92,Milos Nenadic,F,6-10,,Maine,Jr,"Sep 15, 2003",Mississauga,Western Reserve Academy
74,A.J. Lopez,G,6-5,170.0,Maine,So,-,Brooklyn (NY),Mt. Zion Prep
140,Ja'Shonte' Wright-McLeish,GF,6-4,185.0,Maine,Sr,-,Montreal,College Jean-De-Brebeuf
69,Bryce Lausier,F,6-4,190.0,Maine,Sr,-,Hampden (ME),Hampden Academy
48,Peter Filipovity,G,6-7,,Maine,Sr,"Jul 8, 2001",Kaposvar,
45,Kristians Feierbergs,SF,6-8,,Maine,Jr,"Aug 26, 2002",Riga,Get Better Academy
129,Kellen Tynes,PG,6-3,175.0,Maine,Jr,-,Dartmouth,Auburn Drive High School
42,Okay Djamgouz Camgoz,PG,6-5,190.0,Maine,Sr,-,London,St. Ignatius of Loyola Secondary School
19,Isaac Bonilla,G,6-0,,Maine,Fr,-,Danville (NH),Central Catholic High School
36,Ayme Dagiulh,F,6-5,,Maine,So,-,West Boylston (MA),West Boylston High School
32,Jaden Clayton,PG,6-4,160.0,Maine,So,"Jan 30, 2003",Whitby,Dream City Christian School
120,Keelan Steele,C,6-10,,Maine,So,-,Alton,
97,Novak Perovic,G,6-7,,Maine,Jr,-,Belgrade,Hoosac School
30,Adam Cisse,C,6-10,220.0,Maine,Sr,"Sep 8, 2000",Bronx (NY),Cardinal Hayes High School
114,John Shea,C,6-6,235.0,Maine,So,-,Auburn (ME),Edward Little High School
26,Logan Carey,G,6-3,,Maine,Fr,-,Shelton (CT),St. Paul's School
24,Quion Burns,G,6-6,,Maine,Jr,-,White Plains (NY),Lee Academy Prep
112,Daniel Schreier,PF,6-9,225.0,N.J.I.T.,Sr,"Mar 22, 1999",Santa Monica (CA),Vermont Academy
