,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
25,Robert Braswell IV,PF,6-7,205.0,Charlotte,Sr,-,Blythewood (SC),Blythewood High School
214,Sterling Young,G,6-1,170.0,Charlotte,Jr,-,Queens (NY),
156,Rich Rolf,F,6-7,195.0,Charlotte,Fr,-,Centerville (OH),Centerville High School
73,Nik Graves,G,6-3,170.0,Charlotte,So,-,Greensboro (NC),Greensboro Day School
115,"Igor Milicic, Jr.",F,6-10,225.0,Charlotte,Jr,"Aug 27, 2002",Slavonski Brod,
90,Dishon Jackson,C,6-10,250.0,Charlotte,Jr,-,Vallejo (CA),St. Patrick-St. Vincent High School
56,Tyler Fearne,F,6-6,175.0,Charlotte,So,-,Cairns,Concord Prep Academy
122,Iaroslav Niagu,C,7-0,215.0,Charlotte,So,"Sep 4, 2003",Krasnodar,
129,Lu'Cye Patterson,G,6-2,210.0,Charlotte,Sr,"Dec 23, 2001",Minneapolis (MN),Minnesota Preparatory Academy
19,Daylen Berry,G,6-4,170.0,Charlotte,So,-,Cary (NC),Panther Creek High School
11,Andrew Bailey,F,6-6,200.0,Charlotte,So,-,Ramstein,
182,Jackson Threadgill,SF,6-6,200.0,Charlotte,Sr,-,Concord (NC),Concord Christian Academy
150,Nick Richart,C,6-10,220.0,Charlotte,Fr,-,Zionsville (IN),Zionsville High School
60,Isaiah Folkes,G,6-4,190.0,Charlotte,Jr,-,Gainesville (VA),Middleburg Academy
145,Dean Reiber,PF,6-10,225.0,Charlotte,Sr,-,Stokesdale (NC),Northwest Guilford High School
103,Kalib LaCount,PG,5-8,140.0,East Carolina,So,-,Los Angeles (CA),King Drew Magnet High School
57,R.J. Felton,G,6-3,200.0,East Carolina,Jr,-,Aiken (SC),Aiken High School
55,Ta'Korrie Faison,F,6-5,,East Carolina,Fr,-,Goldsboro (NC),Goldsboro High School
45,Quentin Diboundje,G,6-5,206.0,East Carolina,Jr,"May 31, 2002",Montpellier,Montverde Academy
149,Callum Richard,C,6-10,228.0,East Carolina,Fr,-,Stanley (NC),Gaston Day School
22,Logan Bourgeois,G,6-1,,East Carolina,Fr,-,Fleury-les-Aubrais,
192,Bencao Vungo,GF,6-7,207.0,East Carolina,Fr,"May 16, 2004",Chitato,
170,Grant Smith,F,6-7,,East Carolina,So,-,Richmond (VA),Douglas Freeman High School
109,Cyr Malonga,C,6-11,205.0,East Carolina,Fr,-,Louisville (KY),Evangel Christian School
93,Brandon Johnson,F,6-8,210.0,East Carolina,Jr,"Jan 15, 2002",Raleigh (NC),Rolesville High School
118,Evan Montanari,G,6-2,,East Carolina,Fr,-,Denver (NC),Gaston Day School
10,Ezra Ausar,F,6-8,210.0,East Carolina,So,"Feb 14, 2003",Snellville (GA),Liberty Heights Athletic Institute
81,Cam Hayes,PG,6-1,185.0,East Carolina,Sr,-,Greensboro (NC),Greensboro Day School
136,Valentino Pinedo,SF,6-8,219.0,East Carolina,So,"Apr 7, 2004",Madrid,Sunrise Christian Academy
132,Bobby Pettiford Jr.,G,6-0,190.0,East Carolina,Jr,-,Creedmor (NC),South Granville High School
16,Ben Bayela,F,6-6,190.0,East Carolina,Sr,"Mar 25, 2000",Le Chesnay,
194,Jaden Walker,PG,6-5,196.0,East Carolina,Sr,"Mar 20, 2002",Lawrenceville (GA),CORE4 High School Prep
74,B.J. Greenlee,PG,6-0,191.0,Florida Atlantic,Sr,-,Gainesville (FL),The Rock High School
64,Jalen Gaffney,G,6-3,185.0,Florida Atlantic,Sr,"Jul 30, 2000",Columbus (NJ),Westtown School
143,Alejandro Ralat,PG,6-0,160.0,Florida Atlantic,Jr,"Dec 24, 2000",San Juan (PR),Saint Andrew's School
72,Vladislav Goldin,C,7-1,240.0,Florida Atlantic,Jr,"May 12, 2001",Nalchik,Putnam Science Academy
66,Isaiah Gaines,F,6-8,225.0,Florida Atlantic,Jr,-,Pensacola (FL),Pensacola High School
95,Jack Johnson,G,6-4,185.0,Florida Atlantic,Fr,-,White Plains (NY),Choate Rosemary
110,Alijah Martin,PG,6-2,210.0,Florida Atlantic,Sr,"Dec 26, 2001",Summit (IL),North Pike High School
139,Jake Powell,G,6-5,,Florida Atlantic,Fr,-,Raleigh (NC),North Raleigh Christian Academy
41,Johnell Davis,G,6-4,203.0,Florida Atlantic,Sr,"May 23, 2001",Gary (IN),21st Century Charter School
107,Brenen Lorient,PF,6-9,200.0,Florida Atlantic,So,-,Ocala (FL),Calvary Christian Academy
157,Giancarlo Rosado,PF,6-8,247.0,Florida Atlantic,Jr,-,West Palm Beach (FL),Palm Beach Lakes Community High School
28,Tre Carroll,C,6-7,227.0,Florida Atlantic,So,-,Punta Gorda (FL),Charlotte High School
199,Brandon Weatherspoon,G,6-4,186.0,Florida Atlantic,Sr,-,Canton (MS),Canton High School
190,Devin Vanterpool,G,6-4,175.0,Florida Atlantic,Fr,-,Laurel (MD),Christ the King
17,Leo Beath,F,6-8,210.0,Florida Atlantic,Fr,-,Oak Park (CA),Oak Park High School
24,Nicholas Boyd,G,6-3,175.0,Florida Atlantic,Jr,-,Garnerville (NY),Don Bosco Preparatory High School
26,Jordan Brown,F,6-11,225.0,Memphis,Sr,"Dec 4, 1999",Roseville (CA),Prolific Prep
117,Caleb Mills,SG,6-5,185.0,Memphis,Sr,"Jul 24, 2000",Asheville (NC),Asheville Christian Academy
185,Nae'qwan Tomlin,F,6-10,210.0,Memphis,Sr,"Dec 10, 2000",New York (NY),Urban Assembly School for Applied Math & Science
30,Carl Cherenfant,F,6-5,195.0,Memphis,Fr,-,Fort Lauderdale (FL),Calvary Christian Academy
205,Mikey Williams,PG,6-3,185.0,Memphis,Fr,"Jun 26, 2004",San Diego (CA),San Ysidro High School
33,Joe Cooper,G,6-1,180.0,Memphis,Sr,-,Olive Branch (MS),Olive Branch High School
179,J.J. Taylor,F,6-8,180.0,Memphis,Fr,"Dec 27, 2004",Chicago (IL),San Ysidro High School
97,David Jones,SF,6-6,210.0,Memphis,Sr,"Nov 24, 2001",Santo Domingo,Teays Valley Christian School
135,Jonathan Pierre,F,6-9,210.0,Memphis,Jr,-,Hallandale (FL),Hallandale High School
77,Ashton Hardaway,F,6-8,210.0,Memphis,Fr,"Jul 21, 2004",Dallas (TX),Sierra Canyon School
99,Nick Jourdain,F,6-9,220.0,Memphis,Jr,"Jun 29, 2001",Neptune (NJ),Covenant College Prep
78,Jayden Hardaway,SF,6-5,205.0,Memphis,Sr,"Jul 16, 1999",Memphis (TN),IMG Academy
213,Jayhlon Young,G,6-2,175.0,Memphis,Jr,-,Dallas (TX),Garland High School
38,Malcolm Dandridge,PF,6-9,260.0,Memphis,Sr,"Jan 10, 2001",Memphis (TN),Memphis East High School
197,Jaykwon Walton,SF,6-7,206.0,Memphis,Sr,"Jul 12, 2001",Montgomery (AL),Carver High School
175,Noah Stansbury,G,6-0,170.0,Memphis,Jr,-,Bowling Green (KY),Greenwood High School
141,Jahvon Quinerly,PG,6-1,175.0,Memphis,Sr,"Nov 25, 1998",Jersey City (NJ),Hudson Catholic Regional High School
196,Rondel Walker,G,6-5,185.0,North Texas,Sr,"Sep 22, 2001",Oklahoma City (OK),Putnam West High School
120,Chris Morgan,F,6-8,243.0,North Texas,So,-,DeSoto (TX),DeSoto High School
119,Christian Moore,G,5-11,170.0,North Texas,So,-,Jacksonville (AR),Jacksonville High School
4,Robert Allen,F,6-8,230.0,North Texas,Sr,"Feb 24, 2000",Orlando (FL),Edgewater High School
27,John Buggs III,G,6-2,185.0,North Texas,Jr,-,Homer (LA),Putnam Science Academy
35,Alex Cotton,G,6-5,180.0,North Texas,Fr,-,Carrollton (TX),Hebron High School
98,Rubin Jones,G,6-5,190.0,North Texas,Sr,-,Houston (TX),Yates High School
52,Jason Edwards,G,6-1,180.0,North Texas,So,-,Lilburn (GA),Parkview High School
177,Matt Stone,F,6-4,205.0,North Texas,Jr,-,Kingfisher (OK),Kingfisher High School
160,Aaron Scott,GF,6-7,200.0,North Texas,Jr,"Jul 11, 2003",Spring (TX),Legacy the School of Sport Sciences
47,"Terrance Dixon, Jr.",F,6-8,200.0,North Texas,So,-,Phoenix (AZ),Desert Vista High School
169,Moulaye Sissoko,FC,6-9,240.0,North Texas,Jr,"Nov 17, 1999",Bamako,Lincoln Academy
5,Grayson Allo,G,6-3,175.0,North Texas,Fr,-,Carrollton (TX),Hebron High School
124,C.J. Noland,GF,6-3,215.0,North Texas,Jr,-,Waxahachie (TX),Waxahachie High School
3,Sam Alajiki,F,6-7,230.0,Rice,Jr,"Nov 12, 2002",Dundalk,Saint Benedict's Preparatory School
111,Mehki Mason,F,6-5,195.0,Rice,So,-,Gilbert (AZ),AZ Compass Prep
7,Cole Andrews-Heitz,G,6-1,170.0,Rice,Fr,-,Leander (TX),Rouse High School
2,Andrew Akuchie,F,6-11,215.0,Rice,So,-,Fort Lauderdale (FL),St. Thomas Aquinas High School
87,Alem Huseinovic,GF,6-4,185.0,Rice,Sr,"Jan 16, 2002",Zenica,PPHoenix College Prep
42,Keanu Dawes,,6-9,205.0,Rice,Fr,"Apr 4, 2005",Houston (TX),Stratford High School
198,Gabe Warren,F,6-6,205.0,Rice,Fr,-,Plano (TX),Allen High School
167,Noah Shelby,G,6-3,185.0,Rice,So,-,Dallas (TX),Greenhill School
166,Cameron Sheffield,SG,6-6,195.0,Rice,Jr,-,Alpharetta (GA),Chattahoochee High School
