,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
73,Quincy Guerrier,F,6-8,220.0,Illinois,Sr,"May 13, 1999",Thetford,Thetford Academy
68,Luke Goode,F,6-7,210.0,Illinois,Jr,"Aug 24, 2002",Fort Wayne (IN),Homestead High School
182,"Terrence Shannon, Jr.",F,6-6,215.0,Illinois,Sr,"Jul 30, 2000",Chicago (IL),Lincoln Park High School
145,Niccolo Moretti,PG,6-1,160.0,Illinois,Fr,"Mar 15, 2004",Bologna,DME Academy
65,Dra Gibbs-Lawhorn,G,6-1,165.0,Illinois,Fr,-,Lafayette (IN),Word of God Christian Academy
77,Amani Hansberry,FC,6-8,225.0,Illinois,Fr,-,Baltimore (MD),Mount Saint Joseph College
80,Justin Harmon,GF,6-4,180.0,Illinois,Sr,-,Chicago (IL),Curie Metropolitan High School
81,Sencire Harris,G,6-4,160.0,Illinois,So,"Sep 28, 2002",North Canton (OH),St. Vincent St. Mary High School
42,Dain Dainja,F,6-9,270.0,Illinois,Jr,"Jul 16, 2002",Chicago (IL),Park Center Senior High School
175,Ty Rodgers,G,6-6,200.0,Illinois,So,"May 4, 2004",Saginaw (MI),Thornton Township High School
83,Coleman Hawkins,SF,6-10,225.0,Illinois,Sr,"Dec 10, 2001",Antelope (CA),Prolific Prep
170,A.J. Redd,G,6-3,160.0,Illinois,So,"Sep 3, 2003",Chicago (IL),St. Ignatius College Prep
120,Keaton Kutcher,G,6-2,,Illinois,Jr,-,Mount Vernon (IA),Mount Vernon High School
216,Max Williams,SG,6-2,190.0,Illinois,Sr,-,Chicago (IL),IMG Academy
47,Marcus Domask,SF,6-6,215.0,Illinois,Sr,"Jun 9, 2000",Waupun (WI),Waupun High School
41,Gabe Cupps,G,6-2,170.0,Indiana,Fr,-,Dayton (OH),Centerville High School
173,Malik Reneau,PF,6-9,233.0,Indiana,So,"Apr 1, 2003",Hialeah Gardens (FL),Montverde Academy
140,Mackenzie Mgbako,PF,6-8,215.0,Indiana,Fr,"Nov 18, 2004",Somerset (NJ),Roselle Catholic High School
106,Xavier Johnson,G,6-3,200.0,Indiana,Sr,"Oct 14, 1999",Arlington (VA),Bishop O'Connell High School
59,Trey Galloway,SG,6-4,203.0,Indiana,Jr,"Nov 28, 2001",Culver (IN),Culver Military Academy
39,Jackson Creel,F,6-4,190.0,Indiana,Jr,"Apr 17, 2002",Mount Vernon (IL),Mount Vernon High School
74,C.J. Gunn,F,6-6,194.0,Indiana,So,"Jan 18, 2004",Indianapolis (IN),Lawrence North High School
4,Kaleb Banks,F,6-7,215.0,Indiana,So,"Nov 17, 2003",Fayetteville (GA),Fayette County High School
150,Jakai Newton,G,6-3,190.0,Indiana,Fr,-,Covington (GA),Newton High School
69,James Goodis,G,6-1,170.0,Indiana,Fr,"Nov 15, 2003",Albuquerque (NM),Montverde Academy
21,Shaan Burke,F,6-5,195.0,Indiana,Fr,"Dec 13, 2002",San Diego (CA),Vista High School
209,Kel'el Ware,PF,7-0,230.0,Indiana,So,"Apr 20, 2004",North Little Rock (AR),North Little Rock High School
190,Payton Sparks,C,6-9,255.0,Indiana,Jr,"Oct 24, 2002",Winchester (IN),Winchester High School
167,Jordan Rayford,F,6-5,200.0,Indiana,Fr,"May 15, 2003",Washington (DC),Phillips Academy
207,Anthony Walker III,F,6-9,215.0,Indiana,Sr,"Feb 9, 2001",Baltimore (MD),Brewster Academy
193,Ian Stephens,F,6-5,165.0,Indiana,Fr,"Oct 8, 2004",New Palestine (IN),New Palestine High School
125,Anthony Leal,SG,6-5,205.0,Indiana,Jr,"May 12, 2001",Bloomington (IN),Bloomington South High School
44,Ladji Dembele,FC,6-9,250.0,Iowa,Fr,"Oct 16, 2003",Bamako,Saint Benedict's Preparatory School
148,Riley Mulvey,FC,6-11,245.0,Iowa,Jr,"Oct 8, 2002",Rotterdam (NY),The Albany Academy
46,Josh Dix,SG,6-7,175.0,Iowa,So,"Jun 29, 2004",Council Bluffs (IA),Abraham Lincoln High School
50,Dante Eldridge,PG,5-9,170.0,Iowa,Sr,"Apr 22, 2000",North Liberty (IA),Iowa City West High School
179,Pryce Sandfort,SF,6-7,190.0,Iowa,Fr,-,Waukee (IA),Northwest High School
97,Spencer Hutchison,G,6-4,202.0,Iowa,Fr,-,Dallas (TX),Episcopal School of Dallas
116,Carter Kingsbury,GF,6-4,225.0,Iowa,So,"May 23, 2001",Ponca (NE),Brewster Academy
119,Ben Krikke,PF,6-9,220.0,Iowa,Sr,"Mar 23, 2001",Edmonton,Jasper Place High School
