,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
39,D.J. Davis,G,6-1,170.0,Butler,Sr,-,Corona (CA),Riverside Polytech High School
103,Ethan McComb,G,6-1,160.0,Butler,Fr,-,Greenwood (IN),Center Grove High School
25,Augusto Cassia,F,6-8,178.0,Butler,Fr,"Aug 11, 2002",Mexico City,NBA Academy Latin America
110,Landon Moore,G,6-3,,Butler,So,-,Bloomington (IL),Western Reserve Academy
112,John-Michael Mulloy,C,6-10,230.0,Butler,Sr,-,Carmel (IN),Carmel High School
65,Artemios Gavalas,G,6-0,180.0,Butler,Sr,-,Southampton (NY),Southampton
17,Pierre Brooks II,GF,6-6,225.0,Butler,Jr,"Dec 20, 2002",Detroit (MI),Frederick Douglass Prep
89,Boden Kapke,C,6-11,,Butler,Fr,-,Victoria (MN),Holy Family Catholic High School
147,Andre Screen,C,7-1,251.0,Butler,Sr,"Dec 3, 2001",Alexandria (VA),St. Stephen's & St. Agnes School
156,Jahmyl Telfort,SF,6-7,224.0,Butler,Sr,"Apr 30, 2001",Quebec City,Thornlea Secondary School
15,Finley Bizjack,G,6-4,170.0,Butler,Fr,-,Trophy Club (TX),Byron Nelson High School
158,Jalen Thomas,C,6-10,230.0,Butler,Sr,"Oct 2, 2000",Henderson (NV),University of Detroit Jesuit High School and Academy
2,Posh Alexander,PG,6-0,200.0,Butler,Sr,"Mar 31, 2001",Bronx (NY),Our Saviour Lutheran School
164,Connor Turnbull,C,6-10,215.0,Butler,So,-,O'Fallon (MO),Fort Zumwalt North High School
9,Steven Ashworth,G,6-1,170.0,Creighton,Sr,"May 1, 2000",Highland (UT),Lone Peak High School
92,Fredrick King,C,6-10,245.0,Creighton,So,"Feb 19, 2004",Mangrove Cay,NBA Academy Latin America
93,Sterling Knox,G,6-4,200.0,Creighton,Fr,-,Las Vegas (NV),Durango High School
96,Johnathan Lawson,SF,6-6,188.0,Creighton,Jr,-,Memphis (TN),Wooddale High School
165,Brock Vice,F,6-10,238.0,Creighton,Fr,-,Germantown (TN),Houston High School
106,Mason Miller,F,6-9,190.0,Creighton,So,-,Germantown (TN),Houston High School
3,Trey Alexander,SG,6-4,190.0,Creighton,Jr,"May 2, 2003",Midwest City (OK),Heritage Hall High School
68,Jasen Green,F,6-8,235.0,Creighton,Fr,-,Omaha (NE),Millard North High School
162,Isaac Traudt,PF,6-10,235.0,Creighton,So,"Dec 17, 2003",Grand Island (NE),Grand Island High School
