,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
133,Kobe Sanders,F,6-6,175.0,Cal Poly,Sr,-,San Diego (CA),Christian High School
43,Julien Franklin,SF,6-7,200.0,Cal Poly,Sr,"Apr 25, 2001",Villa Park (CA),Villa Park High School
67,Quentin Jones,SG,6-5,210.0,Cal Poly,Fr,-,Chicago Heights (IL),Marian Catholic High School
68,Hayden Jory,G,5-11,170.0,Cal Poly,Jr,-,Lompoc (CA),Cabrillo High School
59,Jarred Hyder,PG,6-3,185.0,Cal Poly,Sr,-,San Bernardino (CA),Damien High School
112,Bryan Penn-Johnson,C,7-1,235.0,Cal Poly,Sr,"Jan 6, 2000",Las Vegas (NV),Wasatch Academy
60,Tuukka Jaakkola,C,6-10,240.0,Cal Poly,Sr,"May 29, 1999",Turku,Helsinki Basketball Academy
120,"Aaron Price, Jr.",F,6-8,195.0,Cal Poly,So,-,Las Vegas (NV),Liberty High School
10,Paul Bizimana,F,6-9,215.0,Cal Poly,Jr,-,Haltom City (TX),Haltom High School
97,Jackson Mosley,PG,5-10,170.0,Cal Poly,Fr,-,La Canada Flintridge (CA),St. Francis High School
51,Cole Haller,F,6-7,185.0,Cal Poly,So,-,Bellevue (WA),Bellevue High School
78,Cam Malray,F,6-8,220.0,Cal Poly,Sr,-,Kansas City (MO),
4,Joel Armotrading,C,6-9,230.0,Cal Poly,Sr,-,London,
90,Logan McLaughlin,G,6-2,185.0,Cal Poly,Sr,-,Carrollton (TX),Hebron High School
143,Isaac Spears,PG,6-4,170.0,Cal Poly,Jr,-,St. Louis (MO),Bella Vista College Prep
122,Aidan Prukop,F,6-4,180.0,Cal Poly,Sr,-,Austin (TX),Mater Dei High School
108,Justin Page,PG,6-4,210.0,Cal Poly,Fr,-,East Peoria (IL),East Peoria Community High School
145,Corey Stephenson,GF,6-6,210.0,Cal State Bakersfield,So,-,Hueytown (AL),Hueytown High School
118,Dalph Ponopio,G,6-1,184.0,Cal State Bakersfield,Sr,"Jun 10, 2000",Rome,Stellazzurra Basketball Academy
56,Kaleb Higgins,G,5-10,160.0,Cal State Bakersfield,Sr,-,Pine Bluff (AR),
45,Naseem Gaskin,SG,6-4,185.0,Cal State Bakersfield,Sr,"Feb 15, 2000",Oakland (CA),Bishop O'Dowd High School
86,Marvin McGhee III,G,6-4,195.0,Cal State Bakersfield,Sr,-,Atlanta (GA),Robert S. Alexander High School
105,Fidelis Okereke,PF,6-6,260.0,Cal State Bakersfield,Sr,-,Carson (CA),King Drew Magnet High School
70,Modestas Kancleris,F,6-9,205.0,Cal State Bakersfield,Sr,"Jun 1, 2001",Kaunas,Varpas Gimnazija
165,Kadar Waller,PG,5-11,175.0,Cal State Bakersfield,Jr,-,Bakersfield (CA),Mt. Zion Prep
166,Kareem Watson,F,6-7,190.0,Cal State Bakersfield,Fr,-,Philadelphia (PA),West Catholic Preparatory High School
167,Kaseem Watson,F,6-8,190.0,Cal State Bakersfield,So,-,Philadelphia (PA),West Catholic Preparatory High School
170,Cameron Wilbon,G,6-5,200.0,Cal State Bakersfield,Sr,"Nov 17, 1998",Merrillville (IN),Bosco Institute
81,Tom Mark,PF,6-7,190.0,Cal State Bakersfield,Jr,"Jan 15, 2001",Affligem,
1,Jaden Alexander,G,6-4,200.0,Cal State Bakersfield,Fr,-,Vallejo (CA),St. Patrick-St. Vincent High School
62,Ugnius Jarusevicius,F,6-10,220.0,Cal State Bakersfield,So,"Jun 4, 2003",Alytaus,
69,Beril Kabamba,F,6-6,217.0,Cal State Fullerton,Jr,-,Clearwater (FL),Dunedin High School
103,Donovan O'Day,G,6-2,188.0,Cal State Fullerton,So,-,Arlington (TX),Mansfield Timberview High School
74,Vincent Lee,PF,6-8,230.0,Cal State Fullerton,Sr,-,Midlothian (TX),Midlothian High School
125,Keith Richard,G,6-2,175.0,Cal State Fullerton,Fr,-,Dallas (TX),
128,Antwan Robinson,F,6-6,210.0,Cal State Fullerton,Fr,-,St. Louis (MO),
66,Max Jones,G,6-5,206.0,Cal State Fullerton,Jr,-,Clearwater (FL),Clearwater High School
132,Tory San Antonio,SG,6-3,165.0,Cal State Fullerton,Sr,"Jun 1, 2001",Moreno Valley (CA),Rancho Verde High School
172,Trevor Williams,G,6-1,170.0,Cal State Fullerton,Fr,-,Los Angeles (CA),
15,D.J. Brewton,G,6-3,205.0,Cal State Fullerton,Sr,"Jan 15, 2000",Cincinnati (OH),Dohn Community High School
139,Syd Shipp,G,6-0,170.0,Cal State Fullerton,Sr,-,Chicago (IL),St. Pius X High School
35,Kendrick De Luna,F,6-10,230.0,Cal State Fullerton,Fr,-,San Antonio (TX),St. Thomas' Episcopal High School
22,Grayson Carper,F,6-6,190.0,Cal State Fullerton,Sr,-,Fresno (CA),
31,Jalen Cooper,GF,6-7,205.0,Cal State Fullerton,Sr,-,Holiday (FL),Anclote High School
164,Zach Visentin,C,6-9,270.0,Cal State Fullerton,Jr,-,Springville (UT),Springville High School
144,Mikey Square,F,6-6,210.0,Cal State Fullerton,Sr,-,Washington (DC),St. John's College High School
154,Simon Tilahun,G,6-1,160.0,Cal State Northridge,Fr,-,Los Angeles (CA),
14,Dionte Bostick,G,6-2,185.0,Cal State Northridge,Jr,"May 10, 2001",Clearwater (FL),East Lake High School
