,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
98,Chris Okeke,C,6-9,230.0,Florida International,Jr,-,Chicago (IL),Victory Rock Prep
48,Javaunte Hawkins,G,5-11,160.0,Florida International,Sr,-,Lee's Summit (MO),Lee's Summit North High
120,Mohamed Sanogo,F,6-9,200.0,Florida International,Jr,-,Pittsfield (MA),Putnam Science Academy
105,Seth Pinkney,C,7-1,200.0,Florida International,Sr,-,Warminster (PA),Archbishop Wood High School
12,Jayden Brewer,SG,6-6,155.0,Florida International,So,-,Avon (IN),Ben Davis High School
43,Travis Gray,G,6-5,180.0,Florida International,Sr,-,Syracuse (NY),
29,Arturo Dean,G,5-11,163.0,Florida International,So,-,Miami (FL),Putnam Science Academy
42,Jaden Grant,PG,5-11,161.0,Florida International,Jr,"Mar 8, 2003",Fort Lauderdale (FL),NSU University School
133,Dante Wilcox,F,6-6,220.0,Florida International,Jr,-,West Palm Beach (FL),Oxbridge Academy of the Palm Beaches
119,Renato Ruiz,G,6-1,180.0,Florida International,Jr,-,,
41,Dashon Gittens,G,6-3,178.0,Florida International,So,-,Hartford (CT),Putnam Science Academy
3,Jonathan Aybar,F,6-9,200.0,Florida International,Jr,-,Kissimmee (FL),Central Pointe Christian Academy
110,George Pridgett,G,5-11,160.0,Florida International,Jr,-,Boston (MA),
76,Jaidon Lipscomb,G,6-5,175.0,Florida International,Jr,-,Pickerington (OH),Pickerington High School Central
71,Petar Krivokapic,PG,6-4,214.0,Florida International,Jr,"Sep 14, 2000",Budva,Miami Preparatory School
100,Onyx Pastoriza,G,5-8,,Florida International,Sr,-,,
20,Quincy Clark,G,6-2,180.0,Jacksonville State,Jr,-,Westerville (OH),Westerville Central High School
27,Thomas Curlee,G,6-3,,Jacksonville State,Fr,-,Anniston (AL),Faith Christian School
103,Juwan Perdue,F,6-6,200.0,Jacksonville State,Sr,"Oct 31, 2000",Sumas (WA),Lakewood High School
81,Matt Mayers,F,6-8,210.0,Jacksonville State,Sr,-,Bron,Monsignor Scanlan High School
115,Travis Roberts,F,6-6,205.0,Jacksonville State,So,-,Waldorf (MD),Bishop Walsh High School
16,Andres Burney,F,6-9,210.0,Jacksonville State,Jr,-,Brundidge (AL),Pike County High School
95,Alex Odam,G,6-3,,Jacksonville State,Fr,-,Piedmont (AL),Piedmont High School
127,KyKy Tandy,SG,6-2,199.0,Jacksonville State,Sr,"Dec 22, 2000",Hopkinsville (KY),University Heights Academy
13,"Marcellus Brigham, Jr.",F,6-7,210.0,Jacksonville State,Jr,"Nov 7, 2001",Memphis (TN),Briarcrest Christian School
94,Mason Nicholson,C,6-10,280.0,Jacksonville State,Jr,-,Gary (IN),West Side High School
92,Gora Niang,PF,6-7,,Jacksonville State,Fr,-,Dakar,Central Pointe Christian Academy
61,Caleb Johnson,F,6-7,200.0,Jacksonville State,Jr,-,Cole Harbour,Father Henry Carr Catholic Secondary School
74,Brad Lewis,G,6-4,175.0,Jacksonville State,Jr,-,Alabaster (AL),Thompson High School
101,Tyre Patterson,G,6-2,,Jacksonville State,Fr,-,Athens (AL),Athens High School
114,Ivan Reynolds,SG,6-5,190.0,Jacksonville State,Sr,-,Coral Springs (FL),Coral Springs High School
102,Brody Peebles,SG,6-2,170.0,Liberty,Jr,-,Hartselle (AL),Hartselle High School
137,Zander Yates,PF,6-7,225.0,Liberty,So,-,Germantown (TN),Houston High School
85,Kaden Metheny,G,5-10,170.0,Liberty,Sr,-,Morgantown (WV),University High School
84,Gabriel McKay,G,6-2,180.0,Liberty,Sr,-,Lynchburg (VA),Liberty Christian Academy
138,Kai Yu,C,7-0,240.0,Liberty,Fr,-,Zhuhai,Link Year Prep
107,Colin Porter,G,5-9,170.0,Liberty,So,-,Ashland (KY),Paul Blazer High School
116,Shiloh Robinson,PF,6-7,235.0,Liberty,Sr,-,Kearney (NE),Kearney High School
9,Curtis Blair III,PG,6-6,210.0,Liberty,Fr,-,Richmond (VA),Steward School
117,Kyle Rode,SF,6-7,220.0,Liberty,Sr,-,Lexington (KY),Lexington Christian Academy
28,Jaylen Davis,GF,6-5,180.0,Liberty,Fr,-,Richmond (KY),Madison Central High School
130,Joseph Venzant,SG,6-3,200.0,Liberty,Jr,-,Midland (TX),Midland Christian High School
122,"J.C. Shirer, Jr.",G,6-3,190.0,Liberty,Fr,-,Arlington (TX),Grace Preparatory Academy
124,Ben Southerland,F,6-7,210.0,Liberty,Fr,-,Cincinnati (OH),Sycamore High School
21,Zach Cleveland,F,6-7,215.0,Liberty,So,-,Normal (IL),Normal Community West High School
125,Bryson Spell,F,6-9,225.0,Liberty,So,-,Virginia Beach (VA),Cape Henry Collegiate School
91,"Sean Newman, Jr.",G,6-1,160.0,Louisiana Tech,Jr,-,Los Angeles (CA),Culver City High School
131,Alex Vertus,G,6-3,205.0,Louisiana Tech,Jr,"Feb 16, 2002",Fort Lauderdale (FL),Putnam Science Academy
129,Jordan Turner,SF,6-8,195.0,Louisiana Tech,Sr,-,Wolfforth (TX),Sunrise Christian Academy
113,Devin Ree,F,6-8,180.0,Louisiana Tech,So,"Mar 11, 2004",Terry (MS),Oak Hill Academy
