,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
98,Dok Muordar,C,6-11,205.0,Cleveland State,So,-,Rumbek,Huntington Prep
118,Ramar Pryor,G,6-3,190.0,Cleveland State,So,-,Akron (OH),St. Vincent St. Mary High School
164,Jayson Woodrich,F,6-7,195.0,Cleveland State,Sr,"Jul 22, 2001",Beachwood (OH),Scotland Performance Institute
109,Paxton Payne,G,6-2,190.0,Cleveland State,Sr,-,Kansas City (MO),Smithville High School
137,Tevin Smith,GF,6-4,190.0,Cleveland State,Jr,-,Danville (IL),Danville High School
35,K.J. Debrick,F,6-9,240.0,Cleveland State,Jr,-,Springfield (IL),Lamphier High School
125,Chase Robinson,G,6-1,205.0,Cleveland State,Sr,-,Oak Park (IL),Oak Park & River Forest High School
46,Tristan Enaruna,PF,6-8,220.0,Cleveland State,Sr,"Jun 26, 2001",Almere,Wasatch Academy
122,Jalin Rice,G,6-1,175.0,Cleveland State,Jr,-,Madison (MS),Madison Central High School
96,T.J. Moss,SG,6-4,180.0,Cleveland State,Sr,"Oct 18, 1999",Memphis (TN),Findlay College Prep
88,Drew Lowder,G,6-1,175.0,Cleveland State,Sr,-,Ann Arbor (MI),Ann Arbor Pioneer High School
4,Dylan Arnett,F,6-9,230.0,Cleveland State,So,-,Chicago (IL),DePaul Academy
167,Danny Young,G,6-1,175.0,Cleveland State,Fr,-,Shaker Heights (OH),Shaker Heights High School
161,Tae Williams,SG,6-7,205.0,Cleveland State,Sr,"Dec 14, 2000",Chicago (IL),Rezin Orr High School
89,Mak Manciel,G,6-3,197.0,Detroit-Mercy,Jr,-,Sterling Heights (MI),Adlai E. Stevenson High School
37,Edoardo Del Cadia,F,6-8,240.0,Detroit-Mercy,Sr,"Mar 10, 1999",Senigallia,Myerscough College
32,Tyree Davis,G,6-8,190.0,Detroit-Mercy,So,-,Hyattsville (MD),Glenda Dawson High School
108,Abdullah Olajuwon,G,6-5,210.0,Detroit-Mercy,Fr,"Feb 11, 2004",Houston (TX),Clements High School
86,Kyle LeGreair,G,6-0,180.0,Detroit-Mercy,Sr,-,Detroit (MI),Cass Technical High School
112,Jamail Pink,PG,6-1,170.0,Detroit-Mercy,Sr,-,Houston (TX),Clear Lake High School
82,Emmanuel Kuac,F,6-7,205.0,Detroit-Mercy,Sr,-,Calgary,Kearns High School
77,Trenton Johnson,G,6-2,170.0,Detroit-Mercy,Jr,-,South Bend (IN),Mishawaka High School
107,Michael Oaks,C,6-10,210.0,Detroit-Mercy,Fr,-,Houston (TX),Southern California Academy of Sciences
143,Alex Tchikou,F,6-11,230.0,Detroit-Mercy,Jr,"Mar 30, 2002",Paris,Dream City Christian School
148,Donovann Toatley,PG,5-10,175.0,Detroit-Mercy,Sr,-,Berlin (MD),Stephen Decatur High School
142,Marcus Tankersley,G,6-4,193.0,Detroit-Mercy,So,-,Chattanooga (TN),Hamilton Heights Christian Academy
