,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
44,Keishawn Davidson,G,6-2,175.0,Belmont,Sr,"Mar 1, 2001",Murfreesboro (TN),Oakdale High School
23,Aidan Braccia,G,6-2,170.0,Belmont,So,-,Atherton (CA),Sacred Heart Preparatory
116,Win Miller,G,6-3,180.0,Belmont,Fr,-,Vestavia Hills (AL),Vestavia Hills High School
54,Jake Dykstra,G,6-4,180.0,Belmont,So,-,Nashville (TN),Christ Presbyterian Academy
69,Ja'Kobi Gillespie,SG,6-0,180.0,Belmont,So,-,Greeneville (TN),Greenville High School
147,Drew Scharnowski,FC,6-9,205.0,Belmont,Fr,-,Burlington (IL),Burlington Central High School
52,Malik Dia,F,6-9,245.0,Belmont,So,"Feb 4, 2004",Nashville (TN),The Ensworth School
169,Kyler Vanderjagt,G,6-4,205.0,Belmont,So,-,Grand Rapids (MI),Northview High School
168,Cade Tyson,GF,6-7,205.0,Belmont,So,"Aug 11, 2003",Monroe (NC),Carmel Christian School
125,Sam Orme,F,6-8,205.0,Belmont,Fr,-,Carmel (IN),Carmel High School
173,Isaiah Walker,F,6-5,190.0,Belmont,So,-,Wyoming (OH),Wyoming High School
142,Brigham Rogers,F,6-9,220.0,Belmont,Fr,-,Woodstock (GA),Blessed Trinity Catholic High School
178,Jayce Willingham,G,6-5,215.0,Belmont,Sr,-,Jasper (AL),Cordova High School
140,Keith Robbins,F,6-5,175.0,Belmont,Fr,-,Alpharetta (GA),John Milledge Academy
107,Connor Linke,F,6-9,230.0,Bradley,Sr,"Jul 5, 2002",St. Charles (IL),St. Charles North High School
28,Demarion Burch,G,6-4,,Bradley,Fr,-,Milwaukee (WI),Alexander Hamilton High School
45,Christian Davis,G,6-7,190.0,Bradley,Jr,"May 16, 2001",Denver (CO),New Hampton School
51,Duke Deen,G,5-8,160.0,Bradley,Sr,"Dec 17, 2001",Shreveport (LA),Bossier High School
59,Emarion Ellis,F,6-5,200.0,Bradley,So,"Jul 31, 2003",Davenport (IA),Assumption High School
131,Trey Pettigrew,G,6-4,175.0,Bradley,So,-,Phoenix (AZ),Kenwood Academy
74,Darius Hannah,PF,6-9,195.0,Bradley,Sr,"Aug 5, 2002",Milwaukee (WI),Milwaukee Academy of Science
17,Goanar Biliew,F,6-8,230.0,Bradley,Jr,"Jan 30, 2002",Denison (IA),Denison High School
92,Ahmet Jonovic,C,7-1,255.0,Bradley,So,"Dec 11, 2003",Prijepolje,
80,Connor Hickman,G,6-3,190.0,Bradley,Jr,"Jun 18, 2002",Bloomington (IN),Bloomington South High School
77,Sam Hennessy,G,6-2,180.0,Bradley,Jr,"Jan 1, 2003",Naperville (IL),Benet Academy
166,Kyle Thomas,C,6-10,220.0,Bradley,So,-,Westchester (IL),Benet Academy
104,Malevy Leons,PF,6-9,210.0,Bradley,Sr,"Sep 23, 1999",IJmuiden,
75,Cade Hardtke,G,6-2,185.0,Bradley,Jr,"Mar 12, 2003",Lombard (IL),Glenbard South High School
7,Almar Atlason,PF,6-8,,Bradley,Fr,"Dec 28, 2004",,Sunrise Christian Academy
182,Atin Wright,G,6-1,185.0,Drake,Sr,-,Anaheim (CA),Fairmont School
50,Tucker DeVries,F,6-7,210.0,Drake,Jr,"Dec 7, 2002",Waukee (IA),Waukee High School
60,Conor Enright,G,6-0,180.0,Drake,So,-,Mundelein (IL),Mundelein High School
73,Brashon Hall,G,6-1,185.0,Drake,Jr,-,Roswell (GA),Centennial High School
122,Eric Northweather,F,6-10,225.0,Drake,Jr,-,Jefferson City (MO),Blair Oaks High School
68,Kyron Gibson,G,6-1,198.0,Drake,Sr,"May 18, 2001",Alexandria (LA),Peabody Magnet High School
66,Colby Garland,G,6-1,183.0,Drake,Fr,-,Magnolia (AR),Magnolia High School
65,Bennett Fried,F,6-7,170.0,Drake,Fr,-,La Crosse (WI),Central High School
126,Kevin Overton,F,6-5,180.0,Drake,Fr,-,Oklahoma City (OK),Midwest City High School
63,Nate Ferguson,F,6-8,220.0,Drake,Sr,-,Lemont (IL),Lemont High School
89,Chico Johnson,G,6-3,180.0,Drake,Fr,-,Toledo (OH),Central Catholic High School
137,Elijah Price,PF,6-9,,Drake,Fr,-,Long Beach (CA),St. Anthony High School
13,Patrick Bath,PF,6-9,,Drake,Fr,-,Minneapolis (MN),Totino-Grace High School
141,Ethan Roberts,G,6-5,195.0,Drake,So,-,Arlington Heights (IL),Jersey Community High School
143,Carlos Rosario,F,6-7,180.0,Drake,Sr,-,Santa Fe Springs (CA),Veritas Prep
24,Darnell Brodie,F,6-10,275.0,Drake,Sr,-,Newark (NJ),East Side High School
3,Andrew Alia,G,6-2,190.0,Drake,So,-,Kenosha (WI),St. Joseph High School
40,Tanner Cuff,F,6-7,,Evansville,Jr,-,Pleasant Grove (UT),American Fork High School
165,Antonio Thomas,SG,6-2,183.0,Evansville,Sr,"Feb 9, 2001",Memphis (TN),Memphis East High School
160,"Kenny Strawbridge, Jr.",G,6-6,202.0,Evansville,Sr,-,Rockford (IL),Rockford Lutheran High School
167,Yacine Toumi,SF,6-10,210.0,Evansville,Sr,"Oct 12, 2000",Meulan-en-Yvelines,Lee Academy Prep
21,Gage Bobe,G,6-0,175.0,Evansville,Sr,-,Vincennes (IN),South Knox High School
72,Cam Haffner,G,6-2,170.0,Evansville,So,-,Westfield (IN),Westfield High School
121,Tyler Myers,G,5-10,,Evansville,Fr,-,Evansville (IN),Evansville Day School
10,Chuck Bailey III,G,6-5,185.0,Evansville,Fr,-,Simi Valley (CA),Hamtramck High School
164,Gui Tesch,F,6-9,,Evansville,Fr,"May 29, 2004",,IMG Academy
31,Dakota Candler,F,6-5,,Evansville,Fr,-,Vincennes (IN),South Knox High School
