,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
48,Stefan Gogic,G,6-4,180.0,Central Connecticut State,So,-,Belgrade,IMG Academy
86,Abdul Momoh,F,6-7,235.0,Central Connecticut State,Jr,-,Carteret (NJ),The Patrick School
104,Matias Rissanen,F,6-7,208.0,Central Connecticut State,Fr,"Mar 20, 2003",Espoo,
105,Jay Rodgers,SG,6-3,185.0,Central Connecticut State,Jr,-,Pickerington (OH),Pickerington High School Central
73,Brody Limric,F,6-9,200.0,Central Connecticut State,So,-,Glastonbury (CT),East Catholic High School
107,Daniele Russo,F,6-7,215.0,Central Connecticut State,So,-,Orlando (FL),
128,Davonte Sweatman,G,5-8,145.0,Central Connecticut State,Jr,-,Boston (MA),Lawrence Academy at Groton
63,Jordan Jones,G,6-0,180.0,Central Connecticut State,Sr,-,Florence (SC),Trinity-Byrnes Collegiate School
62,Allan Jeanne-Rose,F,6-7,200.0,Central Connecticut State,Sr,"Feb 18, 2000",Tallahassee (FL),James Rickards High School
56,T.J. Holloway,G,6-4,200.0,Central Connecticut State,So,-,Orange (CT),Canterbury School
116,"Darin Smith, Jr.",F,6-7,190.0,Central Connecticut State,Fr,-,Springfield (MA),Vermont Academy
135,D.J. Victory,G,5-8,160.0,Central Connecticut State,Fr,-,Bronx (NY),Cardinal Hayes High School
17,Jayden Brown,F,6-8,215.0,Central Connecticut State,Jr,-,Warwick (RI),Tilton School
15,Tre Breland,SG,6-4,190.0,Central Connecticut State,Sr,-,Hamden (CT),Hamden Hall Country Day School
97,Joe Ostrowsky,G,6-0,175.0,Central Connecticut State,Jr,-,Mount Pleasant (MI),Cheshire Academy
4,Kellen Amos,G,6-7,190.0,Central Connecticut State,Sr,-,Houston (TX),St. John's School
7,Emre Barut,G,6-0,,Fairleigh Dickinson,Fr,-,Antalya,
3,Ansley Almonor,F,6-6,219.0,Fairleigh Dickinson,Jr,-,Spring Valley (NY),St. Joseph Regional High School
134,Cameron Tweedy,F,6-4,222.0,Fairleigh Dickinson,Jr,-,Waldorf (MD),Westlake High School
103,Brayden Reynolds,G,6-1,194.0,Fairleigh Dickinson,So,-,Pittsburgh (PA),Chartiers Valley High School
68,Sebastien Lamaute,G,6-1,198.0,Fairleigh Dickinson,Sr,-,Montreal,College Jean-De-Brebeuf
44,Davin Francis,F,6-7,,Fairleigh Dickinson,Fr,-,Brooklyn (NY),MacDuffie School
35,Jo'el Emanuel,F,6-6,196.0,Fairleigh Dickinson,So,-,Suffern (NY),Suffern High School
136,Jacob Warren,C,6-11,230.0,Fairleigh Dickinson,Fr,-,Fort Lauderdale (FL),Calvary Christian Academy
126,"Thomas Sutter, Jr.",GF,6-3,,Fairleigh Dickinson,Fr,-,White Plains (NY),St. Thomas More School
61,Tyler Jamison,G,6-4,193.0,Fairleigh Dickinson,Fr,-,Port Huron (MI),Port Huron Northern High School
90,Sean Moore,G,6-4,175.0,Fairleigh Dickinson,Jr,-,Reynoldsburg (OH),Reynoldsburg High School
91,Jameel Morris,G,6-1,,Fairleigh Dickinson,Fr,-,Willingboro (NJ),Trenton Catholic Academy
19,Terrence Brown,G,6-2,158.0,Fairleigh Dickinson,Fr,-,Minneapolis (MN),Golden State Preparatory School
60,DeVante Jamison,G,5-8,160.0,Fairleigh Dickinson,Sr,-,Dorchester (MA),Jeremiah E. Burke High School
12,Heru Bligen,G,6-2,183.0,Fairleigh Dickinson,Sr,-,Potomac (MD),St. Andrew's Episcopal School
93,"Joe Munden, Jr.",G,6-3,188.0,Fairleigh Dickinson,Sr,-,Bronx (NY),Monsignor Scanlan High School
42,Nate Fouts,F,6-7,215.0,Le Moyne,Fr,-,Skaneateles (NY),Kimball Union Academy
109,Isaiah Salter,G,6-0,160.0,Le Moyne,Sr,-,Concord (NC),Central Cabarrus High School
69,Mason Landdeck,G,6-2,170.0,Le Moyne,Jr,"Apr 23, 2003",Cashmere (WA),Cashmere High School
46,Deng Garang,F,6-6,,Le Moyne,Fr,-,Syracuse (NY),Bishop Grimes High School
64,"Darrick Jones, Jr.",GF,6-5,200.0,Le Moyne,Sr,-,Glen Allen (VA),Oak Hill Academy
77,Nate McClure,G,6-4,190.0,Le Moyne,Sr,-,Houston (TX),
28,Mike DePersia,G,5-11,175.0,Le Moyne,Sr,-,Haddonfield (NJ),Haddonfield Memorial High School
27,A.J. Dancler,G,6-2,160.0,Le Moyne,Fr,-,Indianapolis (IN),Southport High School
98,Ocypher Owens,F,6-8,200.0,Le Moyne,Jr,-,Orlando (FL),Orlando Christian Prep High School
88,C.J. Moore,G,5-8,160.0,Le Moyne,So,-,Lancaster (NY),St. Francis High School
23,Kaiyem Cleary,G,6-6,185.0,Le Moyne,Sr,"Mar 8, 1999",Manchester,Redemption Christian Academy
131,Kaelin Thomas,G,6-1,160.0,Le Moyne,Fr,-,Binghamton (NY),Seton Catholic
92,Trenten Mosquera,GF,6-4,215.0,Le Moyne,So,-,Belmont (MA),Belmont Hill School
84,Jamel Melvin,SF,6-11,210.0,Le Moyne,Sr,-,McLean (VA),The Potomac School
125,Luke Sutherland,F,6-7,220.0,Le Moyne,Sr,-,Syracuse (NY),West Genesee High School
1,Eric Acker,G,6-2,160.0,Long Island,Fr,-,New York (NY),Eagle Academy For Young Men
67,Tana Kopa,F,6-6,178.0,Long Island,Jr,-,Perth,Grace Baptist Academy
66,Greg Kenney,F,6-6,176.0,Long Island,Fr,-,Williston Park (NY),The Gunnery
6,Gezim Bajrami,C,6-9,264.0,Long Island,Fr,"Jul 31, 2003",Tampere,
123,Tai Strickland,PG,6-2,185.0,Long Island,Sr,"Oct 10, 1999",Tampa (FL),St. Petersburg High School
33,Nikola Djapa,C,7-0,230.0,Long Island,Fr,"Jun 23, 2004",Belgrade,Hoosac School
119,Jason Steele,GF,6-6,190.0,Long Island,Fr,-,Bronx (NY),Our Saviour Lutheran School
137,Andre Washington,G,5-11,178.0,Long Island,Jr,-,Staten Island (NY),Williston Northhampton High School
29,C.J. Delancy,FC,6-8,210.0,Long Island,So,-,Jonesboro (AR),St. Thomas More School
49,R.J. Greene,G,6-5,210.0,Long Island,So,-,Bronx (NY),Iona Preparatory School
114,Tre'shawn Sheppard,GF,6-6,230.0,Long Island,Fr,-,Brooklyn (NY),Eagle Academy For Young Men
37,Ahmed Essahaty,PG,6-3,201.0,Long Island,So,"Nov 27, 2003",Wellington,South Kent School
124,Terell Strickland,PG,6-0,175.0,Long Island,Jr,-,St. Petersburg (FL),Scotland Performance Institute
22,Budd Clark,G,5-10,155.0,Merrimack College,Fr,-,Philadelphia (PA),West Catholic Preparatory High School
100,Armandas Plintauskas,G,6-4,185.0,Merrimack College,So,"Jul 15, 2002",Kedainiai,
30,Jordan Derkack,G,6-5,205.0,Merrimack College,So,-,Colonia (NJ),Colonia High School
101,Edrick Quezada,F,6-5,210.0,Merrimack College,Fr,-,Rockland (MA),Brimmer & May School
81,Jordan McKoy,GF,6-5,180.0,Merrimack College,Sr,"Oct 19, 2000",Westwood (NJ),Dwight Morrow High School
31,Samba Diallo,SF,6-7,195.0,Merrimack College,Sr,"Feb 6, 1999",Sparta (NJ),Pope John XXIII Regional High School
34,Malik Edmead,PG,5-10,165.0,Merrimack College,Sr,"Sep 27, 2002",Deer Park (NY),Deer Park High School
70,Brandon Legris,F,6-7,210.0,Merrimack College,So,-,Pennsburg (PA),Perkiomen School
52,Thomas Hall,G,6-4,195.0,Merrimack College,Jr,"Aug 23, 2002",Nanuet (NY),Albertus Magnus High School
10,Elliott Black,F,6-7,220.0,Merrimack College,So,-,Alexandria (VA),St. Stephen's & St. Agnes School
111,Devon Savage,GF,6-4,190.0,Merrimack College,Jr,-,Washington (DC),Riverdale Baptist School
43,Christian Foy,F,6-6,210.0,Merrimack College,Fr,-,Huntersville (NC),North Mecklenburg High School
121,Jaylen Stinson,G,6-2,170.0,Merrimack College,Jr,-,Haverford (PA),Archbishop Wood High School
