,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
35,Caleb Donaldson,G,6-5,195.0,Eastern Illinois,Sr,-,Bloomington (IL),Bloomington High School
93,Sincere Malone,F,6-8,210.0,Eastern Illinois,So,-,Chicago (IL),We Are United Prep
30,Kyndall Davis,GF,6-5,200.0,Eastern Illinois,Sr,-,Flossmoor (IL),Bogan High School
92,Dan Luers,G,6-5,210.0,Eastern Illinois,Sr,-,Lebanon (OH),Bishop Fenwick High School
91,Luke Light,F,6-8,205.0,Eastern Illinois,So,-,Surprise (AZ),Paradise Honors High School
48,Jaylin Gibson,G,6-4,205.0,Eastern Illinois,Jr,-,Evanston (IL),Legacy the School of Sport Sciences
52,Lazar Grbovic,F,6-8,240.0,Eastern Illinois,Jr,"Oct 29, 2000",Belgrade,
133,Nakyel Shelton,G,6-3,180.0,Eastern Illinois,Jr,-,Chicago (IL),Carl Sandburg High School
57,Jermaine Hamlin,PF,6-10,235.0,Eastern Illinois,Sr,"Dec 28, 2000",Lincoln (IL),Lincoln Community High School
14,Tiger Booker,G,5-10,190.0,Eastern Illinois,Sr,-,Chicago (IL),Bogan High School
13,Rodolfo Bolis,F,6-8,240.0,Eastern Illinois,Jr,"May 12, 2003",Muqui,NBA Academy Latin America
53,Isaiah Griffin,G,6-0,160.0,Eastern Illinois,Fr,-,Orange (NJ),Sunrise Christian Academy
127,"Corey Sawyer, Jr.",G,6-4,160.0,Eastern Illinois,Jr,-,Oviedo (FL),The Master's Academy
120,Carson Prost,G,6-3,185.0,Eastern Illinois,Jr,-,Mount Vernon (IL),Mount Vernon High School
73,Kooper Jacobi,F,6-8,200.0,Eastern Illinois,Jr,-,Sellersburg (IN),Silver Creek High School
113,Isaac Ondekane,PF,6-8,275.0,Lindenwood,Jr,-,Kinshasa,Sunrise Christian Academy
155,Jordan Wildy,F,6-9,200.0,Lindenwood,Jr,-,Rock Hill (SC),Moravian Prep
85,Amoro Lado,G,6-4,190.0,Lindenwood,Sr,-,San Diego (CA),Vallivue High School
158,Tommie Williams,,6-4,185.0,Lindenwood,So,-,Belleville (IL),Belleville West High School
24,Keenon Cole,F,6-7,215.0,Lindenwood,Sr,-,Streamwood (IL),Streamwood High School
77,"Nathan Johnson, Jr.",G,6-3,208.0,Lindenwood,Jr,-,Kansas City (KS),Washington High School
5,Darius Beane,PG,6-3,175.0,Lindenwood,Sr,"Dec 22, 1999",Carbondale (IL),Carbondale High School
151,David Ware,G,6-5,210.0,Lindenwood,Sr,-,Bowling Green (VA),Fork Union Military Academy
