,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
100,Motiejus Krivas,C,7-2,265.0,Arizona,Fr,"Dec 1, 2004",Kaunas,
111,Caleb Love,GF,6-4,200.0,Arizona,Sr,"Sep 27, 2001",St. Louis (MO),Christian Brothers College High School
40,Jackson Cook,G,6-3,175.0,Arizona,Fr,-,Oxford,Montverde Academy
19,Jaden Bradley,SG,6-3,185.0,Arizona,So,"Sep 14, 2003",Rochester (NY),IMG Academy
17,Kylan Boswell,G,6-2,195.0,Arizona,So,"Apr 18, 2005",Ontario (CA),AZ Compass Prep
16,Filip Borovicanin,F,6-9,205.0,Arizona,So,"Jan 10, 2004",Belgrade,
109,K.J. Lewis,G,6-4,205.0,Arizona,Fr,"Aug 3, 2004",El Paso (TX),Duncanville High School
108,Pelle Larsson,SG,6-5,215.0,Arizona,Sr,"Feb 23, 2001",Nacka,Riksbasketgymnasiet Lulea
128,Will Menaugh,F,6-10,245.0,Arizona,So,-,Tucson (AZ),Catalina Foothills High School
120,Conrad Martinez,G,6-0,165.0,Arizona,Fr,"Jan 6, 2005",Granollers,
33,Luke Champion,F,6-8,205.0,Arizona,Jr,-,Suwanee (GA),Lambert High School
179,Henri Veesaar,FC,7-0,220.0,Arizona,So,"Mar 28, 2004",Tallinn,
101,Will Kuykendall,G,6-3,175.0,Arizona,Fr,-,Santa Maria (CA),St. Joseph High School
185,Grant Weitman,G,6-4,205.0,Arizona,Jr,-,Tucson (AZ),Salpointe Catholic High School
133,Paulius Murauskas,F,6-8,220.0,Arizona,Fr,"Feb 14, 2004",Kaunas,
4,Dylan Anderson,C,7-0,240.0,Arizona,So,-,Gilbert (AZ),Perry High School
85,Keshad Johnson,SF,6-7,225.0,Arizona,Sr,"Jun 23, 2001",Oakland (CA),San Leandro High School
10,Oumar Ballo,C,7-0,260.0,Arizona,Jr,"Jul 13, 2002",Koulikoro,NBA Academy Latin America
129,Adam Miller,PG,6-3,190.0,Arizona State,Sr,"Jan 23, 2002",Peoria (IL),Morgan Park High School
136,Jamiya Neal,F,6-6,185.0,Arizona State,Jr,"Apr 4, 2003",Toledo (OH),Hillcrest Prep
51,Malachi Davis,G,6-4,175.0,Arizona State,Sr,-,Toronto,
38,Frankie Collins,G,6-1,185.0,Arizona State,Jr,"Jan 23, 2002",Tempe (AZ),Coronado High School
79,Bobby Hurley,G,6-0,,Arizona State,Jr,-,Scottsdale (AZ),Notre Dame Preparatory High School
147,Jose Perez,F,6-5,220.0,Arizona State,Sr,"Oct 14, 1998",Brooklyn (NY),Putnam Science Academy
148,"Shawn Phillips, Jr.",C,7-0,245.0,Arizona State,So,"Apr 15, 2004",Dayton (OH),Dream City Christian School
126,Zane Meeks,C,6-9,215.0,Arizona State,Sr,-,Shawnee Mission (KS),Brewster Academy
61,Alonzo Gaffney,PF,6-9,200.0,Arizona State,Sr,"Jan 28, 2000",Cleveland (OH),Brewster Academy
121,Andrew Mayock,G,6-2,,Arizona State,Fr,-,New Canaan (CT),Northfield Mount Hermon School
118,Zack Markus,G,6-0,165.0,Arizona State,So,-,Mount Juliet (TN),Wilson Central High School
163,Bryant Selebangue,F,6-8,215.0,Arizona State,Jr,-,Brantford,The RISE Centre Academy
110,Brycen Long,SG,6-2,175.0,Arizona State,Sr,"Nov 16, 2001",Gilbert (AZ),Gilbert High School
106,Kamari Lands,F,6-8,220.0,Arizona State,So,"May 22, 2003",La Porte (IN),Hillcrest Prep
183,Akil Watson,F,6-9,205.0,Arizona State,Fr,-,Middletown (NY),Roselle Catholic High School
70,Braelon Green,G,6-3,175.0,Arizona State,Fr,-,Ypsilanti (MI),Southern California Academy of Sciences
192,Jordan Williams,G,5-10,200.0,Arizona State,Jr,-,Los Angeles (CA),AZ Compass Prep
52,Matt Desler,G,6-1,180.0,California,Jr,-,Piedmont (CA),Bishop O'Dowd High School
107,Gus Larson,C,6-10,210.0,California,Jr,-,New Canaan (CT),Northfield Mount Hermon School
46,Devin Curtis,F,6-11,210.0,California,Fr,-,Northridge (CA),Southern California Academy of Sciences
95,Keonte Kennedy,SG,6-5,180.0,California,Sr,"Aug 9, 2000",Aurora (CO),Westlake High School
91,Jayden Karapetian,G,6-2,170.0,California,Fr,-,Woodland Hills (CA),Viewpoint School
123,Jack McCloskey,G,6-4,180.0,California,So,-,Rancho Santa Margarita (CA),Mater Dei High School
137,Grant Newell,F,6-8,220.0,California,So,-,Chicago (IL),Whitney Young High School
39,Jalen Cone,PG,5-11,175.0,California,Sr,"Dec 14, 2000",Walkertown (NC),Walkertown High School
140,ND Okafor,PF,6-9,235.0,California,So,"Mar 27, 2003",Lagos,NBA Academy Latin America
23,"Rodney Brown, Jr.",F,6-6,190.0,California,Fr,-,Temecula (CA),Rancho Christian School
178,Jaylon Tyson,F,6-7,210.0,California,Jr,"Dec 2, 2002",Plano (TX),John Paul II High School
157,Wrenn Robinson,G,6-2,185.0,California,Sr,-,San Francisco (CA),South Kent School
8,Devin Askew,G,6-3,198.0,California,Sr,"Jul 26, 2002",Santa Ana (CA),Mater Dei High School
32,Jalen Celestine,PG,6-7,215.0,California,Sr,"Dec 20, 2001",Huntersville (NC),Long Island Lutheran High School
151,Josh Ragsdale,G,6-4,190.0,California,So,-,San Juan Capistrano (CA),Junipero Serra Catholic High School
1,Fardaws Aimaq,C,6-11,245.0,California,Sr,"Jan 6, 1999",Richmond,Bridgton Academy
35,"Adrian Claiborne, Jr.",F,6-5,195.0,California,Sr,-,Riverside (CA),John W. North High School
145,Vladimir Pavlovic,G,6-3,190.0,California,Fr,"Jul 27, 2004",Herceg Novi,Hoosac School
18,Monty Bowser,F,6-7,195.0,California,Sr,-,Charlotte (NC),Bishop O'Dowd High School
3,Courtney Anderson Jr.,G,6-5,180.0,Colorado,Fr,-,Vallejo (CA),Dublin High School
72,J'Vonne Hadley,F,6-6,206.0,Colorado,Sr,"Apr 3, 2002",Saint Paul (MN),Cretin Derham Hall High School
170,R.J. Smith,G,6-4,185.0,Colorado,Fr,"Sep 23, 2003",Los Angeles (CA),Damien High School
190,Cody Williams,F,6-8,180.0,Colorado,Fr,"Nov 20, 2004",Chandler (AZ),Perry High School
188,Grady Whitt,G,6-3,164.0,Colorado,Fr,-,Raleigh (NC),Leesville High School
104,"Eddie Lampkin, Jr.",C,6-11,263.0,Colorado,Sr,"May 14, 2001",Katy (TX),Morton Ranch High School
82,Tristan Jackson,F,6-6,200.0,Colorado,Fr,-,Salida (CO),Salida High School
65,Greg Gerhardt,C,6-10,212.0,Colorado,Fr,"Nov 5, 2002",Superior (CO),Monarch High School
73,Julian Hammond III,G,6-3,190.0,Colorado,Jr,"Oct 2, 2002",Greenwood Village (CO),Cherry Creek High School
78,Joe Hurlburt,C,6-11,232.0,Colorado,Fr,"Oct 15, 2003",Reno (NV),Enderlin High School
139,Luke O'Brien,F,6-8,210.0,Colorado,Sr,"Aug 21, 2001",Littleton (CO),Columbine High School
161,Javon Ruffin,PG,6-5,195.0,Colorado,So,"Mar 1, 2003",Lleida,Isidore Newman School
54,Assane Diop,C,6-10,200.0,Colorado,Fr,"Nov 16, 2004",Dakar,Accelerated Schools
31,Harrison Carrington,F,6-7,190.0,Colorado,Fr,"Jan 30, 2003",Menlo Park (CA),Northfield Mount Hermon School
146,Jack Pease,G,5-11,165.0,Colorado,So,"Jul 23, 2000",Dallas (TX),Highland Park High School
48,Bangot Dak,F,6-9,180.0,Colorado,Fr,-,Lincoln (NE),Lincoln Southeast High School
47,Tristan Da Silva,F,6-9,229.0,Colorado,Sr,"May 15, 2001",Munich,Ludwig Gymnasium
167,K.J. Simpson,G,6-2,187.0,Colorado,Jr,"Aug 8, 2002",West Hills (CA),Chaminade College Preparatory High School
177,Jadrian Tracey,SG,6-5,210.0,Oregon,Sr,-,Fort Myers (FL),West Oak Academy
