,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
140,Adrian Samuels,G,6-5,170.0,American University,So,-,Nashville (TN),City University School
44,Alex Daniels,G,6-3,170.0,American University,Jr,-,Duluth (GA),
50,Lorenzo Donadio,SG,6-4,190.0,American University,Sr,"Feb 25, 2001",Rome,Boys' Latin School of Maryland
134,Matt Rogers,FC,6-9,220.0,American University,Sr,-,Hagerstown (MD),St. Maria Goretti High School
35,Gibraltar Coleman,F,6-6,,American University,Fr,-,Lorton (VA),Flint Hill School
164,Jermaine Webb,C,7-0,,American University,So,"Feb 22, 2003",,
82,Noah Jones,F,6-6,,American University,So,-,Baltimore (MD),Mount Saint Joseph College
154,Eli Stephens,PG,5-9,165.0,American University,Jr,-,Waco (TX),China Spring High School
25,"Victor Brown, Jr.",SG,6-4,190.0,American University,Sr,-,Orlando (FL),Lake Highland Preparatory
170,Mason Whittaker,F,6-9,210.0,American University,Jr,"Apr 6, 2002",Cust,Christ's College
152,Geoff Sprouse,G,6-0,,American University,So,-,Pembroke Pines (FL),Pembroke Pines Charter High School
81,Greg Jones,G,6-6,,American University,Fr,-,Alexandria (VA),Hayfield Secondary High School
148,Colin Smalls,PG,6-2,185.0,American University,Sr,-,Upper Marlboro (MD),St. Andrew's Episcopal School
65,Chris Gleaton,G,6-3,175.0,American University,Sr,-,Thiells (NY),Trinity-Pawling School
46,Matt Delaney,F,6-7,215.0,American University,Jr,-,Mantua (NJ),St. Augustine College Preparatory School
98,Nick Marshall,G,6-4,180.0,American University,So,-,Clarksville (MD),River Hill High School
71,Adam Holod,G,6-2,,American University,So,-,Saint Paul (MN),St. Paul Academy and Summit School
8,Lincoln Ball,PG,6-6,215.0,American University,Sr,-,Williamsport (MD),Williamsport High School
100,Matthew Mayock,F,6-7,190.0,American University,Fr,-,Berwyn (PA),Westtown School
15,Luke Benson,G,5-11,170.0,Army West Point,Jr,-,Atlanta (GA),Marist School
144,Josh Scovens,GF,6-5,185.0,Army West Point,Fr,-,Greensboro (NC),Walter Hines Page Senior High School
43,Ryan Curry,G,6-0,165.0,Army West Point,Fr,-,Skillman (NJ),Montgomery High School
41,Jared Cross,GF,6-3,196.0,Army West Point,Sr,-,Leesburg (VA),St. Stephen's & St. Agnes School
137,Jalen Rucker,G,5-10,180.0,Army West Point,Sr,-,Baltimore (MD),The Gilman School
51,J.T. Dougherty,F,6-9,205.0,Army West Point,Jr,-,River Falls (WI),River Falls High School
111,Nolan Naess,F,6-8,197.0,Army West Point,Jr,-,Laguna Beach (CA),Laguna Beach High School
52,Matt Dove,C,6-10,240.0,Army West Point,Sr,-,Princeton (IN),Princeton High School
79,Abe Johnson,F,6-8,225.0,Army West Point,Sr,-,Missoula (MT),Hellgate High School
