,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
185,Max Scharnowski,F,6-6,205,Alabama,Sr,-,Elgin (IL),Wheaton Academy
218,Sam Walters,F,6-8,180,Alabama,Fr,"Jun 22, 2004",Orlando (FL),The Villages Charter High School
71,Aaron Estrada,G,6-3,190,Alabama,Sr,"Feb 3, 2001",Woodbury (NJ),Saint Benedict's Preparatory School
217,Mohamed Wague,C,6-10,225,Alabama,Jr,-,Bamako,
84,Rylan Griffen,F,6-5,180,Alabama,So,"Dec 19, 2003",Dallas (TX),Richardson High School
50,"Davin Cosby, Jr.",GF,6-5,193,Alabama,Fr,-,Richmond (VA),Word of God Christian Academy
89,Ward Harrell,F,6-7,220,Alabama,Fr,-,New Braunfels (TX),New Braunfels High School
200,Jarin Stevenson,F,6-11,210,Alabama,Fr,"Oct 15, 2005",Fayetteville (NC),Seaforth High School
197,Kai Spears,G,6-2,160,Alabama,So,-,Pittsburgh (PA),Bishop Canevin High School
160,Grant Nelson,F,6-11,230,Alabama,Sr,"Mar 18, 2002",Devils Lake (ND),Devils Lake High School
165,Kris Parker,F,6-9,195,Alabama,Fr,"Sep 11, 2004",Quincy (FL),Crossroad Academy
64,Mouhamed Dioubate,F,6-7,215,Alabama,Fr,"Dec 13, 2003",Queens (NY),Putnam Science Academy
231,"Latrell Wrightsell, Jr.",SG,6-3,190,Alabama,Sr,-,Omaha (NE),Omaha Central High School
188,Mark Sears,G,6-1,185,Alabama,Sr,"Feb 19, 2002",Muscle Shoals (AL),Hargrave Military Academy
171,Nick Pringle,F,6-9,220,Alabama,Jr,"Sep 16, 2001",Seabrook Island (SC),Whale Branch Early College High School
173,Jaden Quinerly,G,6-0,155,Alabama,Sr,"Jun 30, 2002",Hackensack (NJ),Ramsey High School
169,Joseph Pinion,F,6-5,195,Arkansas,So,-,Morrilton (AR),Morrilton High School
70,El Ellis,G,6-3,180,Arkansas,Sr,"Dec 18, 1999",Durham (NC),Quality Education Academy
