,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
0,Hunter Adam,F,6-7,205.0,Davidson,Fr,"Sep 29, 2004",Christchurch,Christ's College
211,Achile Spadone,G,6-4,185.0,Davidson,So,"Sep 24, 2003",Geneva,St. Thomas More School
207,Chris Sosnik,G,6-2,180.0,Davidson,Sr,"Apr 16, 2002",Washington (DC),St. Albans School
201,David Skogman,PF,6-10,235.0,Davidson,Sr,"Feb 10, 2001",Waukesha (WI),Waukesha West High School
195,Rikus Schulte,PF,6-9,235.0,Davidson,Fr,"Jun 1, 2004",Munster,
154,Jarvis Moss,SG,6-4,200.0,Davidson,Jr,-,Concord (NC),Cannon School
142,Brock Matheny,G,5-10,155.0,Davidson,So,"Apr 24, 2004",Davidson (NC),Burlington Christian Academy
132,Mike Loughnane,G,6-4,200.0,Davidson,Fr,-,Quincy (MA),Phillips Exeter Academy
131,Sean Logan,C,6-10,205.0,Davidson,So,"Aug 9, 2004",Westfield (NJ),Westfield High School
124,Connor Kochera,SG,6-5,200.0,Davidson,Sr,-,Arlington Heights (IL),St. Viator High School
106,Grant Huffman,SG,6-3,185.0,Davidson,Sr,"Jul 12, 2001",Lakewood (OH),St. Edward High School
87,Riccardo Ghedini,F,6-7,200.0,Davidson,So,"Mar 29, 2002",Milan,
66,Bobby Durkin,GF,6-7,215.0,Davidson,Fr,-,Glen Ellyn (IL),Glenbard West High School
35,Angelo Brizzi,G,6-3,180.0,Davidson,Fr,"Nov 5, 2001",Warrenton (VA),Highland School
15,Reed Bailey,F,6-11,210.0,Davidson,So,"Oct 2, 2002",Harvard (MA),Brewster Academy
120,Michael Katsock,GF,6-6,205.0,Davidson,Jr,"May 21, 2002",Washington (DC),St. Albans School
69,Kobe Elvis,PG,6-2,180.0,Dayton,Sr,"Mar 16, 2001",London,Bill Crothers Secondary
43,Enoch Cheeks,PG,6-3,195.0,Dayton,Sr,"Apr 15, 2001",Providence (RI),Putnam Science Academy
204,Malachi Smith,G,6-0,180.0,Dayton,Jr,-,Bronx (NY),St. Raymond High School for Boys
172,Petras Padegimas,F,6-7,215.0,Dayton,Fr,"May 14, 2005",Kaunas,DME Academy
224,Brady Uhl,G,6-2,200.0,Dayton,Jr,-,Dayton (OH),Archbishop Alter High School
33,Koby Brea,GF,6-6,205.0,Dayton,Jr,"Nov 6, 2002",Bronx (NY),Monsignor Scanlan High School
194,Atticus Schuler,F,6-6,200.0,Dayton,So,-,Westerville (OH),St. Francis de Sales High School
91,Makai Grant,G,6-1,190.0,Dayton,Fr,-,Dayton (OH),Chaminade-Julienne High School
166,Zimi Nwokeji,SF,6-7,215.0,Dayton,Jr,-,Tallahassee (FL),Maclay School
191,Nate Santos,SF,6-7,210.0,Dayton,Jr,"Nov 9, 2001",Geneva (IL),Loomis Chaffee School
143,Will Maxwell,G,6-4,200.0,Dayton,Fr,-,Dayton (OH),Oakwood High School
145,Babacar Mbengue,C,7-0,225.0,Dayton,Fr,"Feb 11, 2003",,Olympus Prep Academy
5,Marvel Allen III,GF,6-4,200.0,Dayton,Fr,"Oct 29, 2004",Palm Beach Gardens (FL),Montverde Academy
25,Javon Bennett,G,5-10,155.0,Dayton,So,-,Orlando (FL),Trinity Preparatory School
200,Jaiun Simon,F,6-6,220.0,Dayton,Fr,-,Mableton (GA),Pebblebrook High School
156,C.J. Napier,GF,6-6,215.0,Dayton,Sr,-,Miamisburg (OH),Bishop Fenwick High School
111,Isaac Jack,C,6-11,250.0,Dayton,So,-,Port Alberni,Fort Erie International Academy
58,Evan Dickey,G,6-3,180.0,Dayton,Fr,-,Dayton (OH),Chaminade-Julienne High School
103,DaRon Holmes II,PF,6-10,235.0,Dayton,Jr,"Aug 15, 2002",Phoenix (AZ),Montverde Academy
161,Kailon Nicholls,G,6-0,160.0,Duquesne,Fr,-,Toronto,Hargrave Military Academy
64,Hassan Drame,F,6-7,200.0,Duquesne,Sr,"Aug 18, 2000",Bamako,Our Savior New American School
63,Fousseyni Drame,SF,6-7,192.0,Duquesne,Sr,"Aug 18, 2000",Bamako,Our Savior New American School
44,Jimmy Clark III,PG,6-3,185.0,Duquesne,Sr,"Apr 4, 2001",Covington (GA),Newton High School
57,Jake DiMichele,G,6-4,185.0,Duquesne,Fr,-,McKees Rocks (PA),First Love Christian Academy
192,Andrei Savrasov,SF,6-7,225.0,Duquesne,Sr,"Nov 30, 2000",Orenburg,
61,David Dixon,G,6-9,215.0,Duquesne,So,"Jun 4, 2003",Germantown (TN),Speights Academy
158,Jakub Necas,SF,6-8,210.0,Duquesne,Fr,"Jan 30, 2004",Blansko,
188,Kareem Rozier,G,5-9,160.0,Duquesne,So,"Nov 23, 2004",Orchard Lake (MI),Orchard Lake St. Mary's High School
136,Dusan Mahorcic,PF,6-10,235.0,Duquesne,Sr,-,Belgrade,Notre Dame Preparatory High School
90,Dae Dae Grant,G,6-2,185.0,Duquesne,Sr,"Mar 30, 2001",Lorain (OH),Lorain High School
235,Tre Williams,F,6-7,250.0,Duquesne,Sr,"Aug 9, 2000",Reynoldsburg (OH),Woodstock Academy
175,Lucas Perusek,G,6-1,175.0,Duquesne,Fr,-,Willoughby (OH),St. Edward High School
146,Seamus McDermott,G,6-2,185.0,Duquesne,Fr,-,Holland (PA),Holy Ghost Preparatory School
105,Matus Hronsky,SF,6-8,205.0,Duquesne,So,"Jun 30, 2003",Poruba,Wasatch Academy
8,Ethan Anish,G,6-1,170.0,Duquesne,Fr,-,Pittsburgh (PA),Allderdice High School
22,Halil Barre,F,6-9,220.0,Duquesne,So,"Jun 30, 2003",Cotonou,Scotland Campus
21,Andy Barba,SG,6-6,200.0,Duquesne,Jr,"Sep 23, 2001",Cleveland (OH),Benedictine High School
149,Jay Medor,G,6-0,165.0,Fordham,Sr,-,Wellington (FL),Lake Worth Community High School
183,Zach Riley,G,6-5,195.0,Fordham,Jr,"Jun 3, 2003",Auckland,Rangitoto School
220,Jahmere Tripp,G,6-6,230.0,Fordham,Fr,-,Brooklyn (NY),Brooklyn Collegiate High School
151,Angel Montas,F,6-6,228.0,Fordham,So,-,La Romana,Life Christian Academy
186,Kyle Rose,G,6-4,192.0,Fordham,Sr,-,Upper Marlboro (MD),Eleanor Roosevelt High School
92,Elijah Gray,F,6-8,220.0,Fordham,So,-,Matthews (NC),Hargrave Military Academy
73,Albe Evans,G,5-11,160.0,Fordham,Sr,-,Schuylkill Haven (PA),Schuylkill Haven High School
83,Wayne Franklin,G,6-1,185.0,Fordham,So,-,Paramus (NJ),Paramus Catholic High School
221,Abdou Tsimbila,C,6-9,245.0,Fordham,Jr,"Jun 15, 2000",Yaounde,St. Maria Goretti High School
56,Romad Dean,F,6-7,210.0,Fordham,So,"Feb 19, 2003",Freeport,
26,Noah Best,SG,6-5,175.0,Fordham,Fr,-,Bronx (NY),Mount Saint Michael Academy
4,Savior Akuwovo,PF,6-9,220.0,Fordham,Sr,-,Delta,Ranney School
