,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
37,Javar Daniels,F,6-10,,Austin Peay,Fr,-,Bartlett (TN),Bartlett High School
14,Harrison Black,G,5-8,150.0,Austin Peay,Jr,-,Houston (TX),Sam Rayburn High School
110,Daniel Loos,F,6-6,,Austin Peay,Jr,-,Clarksville (TN),Clarksville Academy
63,Isaac Haney,G,6-2,175.0,Austin Peay,Jr,"Aug 5, 2002",Springfield (MO),Kickapoo High School
92,Dezi Jones,G,5-10,170.0,Austin Peay,Sr,-,Hannibal (MO),Hannibal High School
185,Dez White,G,6-1,170.0,Austin Peay,Fr,-,Jefferson City (MO),Helias High School
15,Ja'Monta Black,G,6-4,190.0,Austin Peay,Sr,"Jan 26, 2001",Columbia (MO),Rock Bridge High School
20,Anton Brookshire,PG,6-2,175.0,Austin Peay,Jr,-,Springfield (MO),Kickapoo High School
45,Hansel Enmanuel,G,6-6,165.0,Austin Peay,So,-,Kissimmee (FL),Life Christian Academy
158,DeMarcus Sharpe,G,6-3,170.0,Austin Peay,Sr,"Dec 26, 1998",Charleston (MO),Charleston High School
188,Jordan Wilmore,C,7-3,310.0,Austin Peay,Sr,-,Laurel (MD),Mt. Zion Prep
190,Sai Witt,F,6-8,230.0,Austin Peay,Sr,-,Kansas City (MO),
43,Jonathan Dunn,F,6-7,190.0,Austin Peay,So,-,Rogersville (MO),We Are United Prep
182,Jalen Ware,F,6-8,200.0,Austin Peay,Jr,-,Winston-Salem (NC),Hargrave Military Academy
170,Peter Suder,G,6-5,215.0,Bellarmine,So,-,Carmel (IN),Carmel High School
85,Zac Jennings,G,6-5,220.0,Bellarmine,Sr,-,Burlington (KY),Cooper High School
147,Zach Reed,G,6-2,180.0,Bellarmine,So,-,Indianapolis (IN),Brebeuf Jesuit Preparatory School
111,A.J. Lux,G,6-5,175.0,Bellarmine,Fr,-,Crown Point (IN),Crown Point High School
67,Langdon Hatton,F,6-10,235.0,Bellarmine,Jr,-,Georgetown (IN),North Harrison High School
86,Ben Johnson,G,6-3,200.0,Bellarmine,So,-,Lexington (KY),Lexington Catholic High School
162,Billy Smith,G,6-7,205.0,Bellarmine,So,-,Indianapolis (IN),Brebeuf Jesuit Preparatory School
151,Elijah Roberts,F,6-7,230.0,Bellarmine,Sr,-,Louisville (KY),Louisville Male High School
56,Kenyon Goodin,G,6-3,190.0,Bellarmine,Fr,-,Shelbyville (KY),Martha Layne Collins High School
61,Landin Hacker,G,6-0,180.0,Bellarmine,Jr,-,Greenwood (IN),Center Grove High School
176,Garrett Tipton,G,6-4,200.0,Bellarmine,Sr,-,Columbus (OH),Bishop Hartley High School
117,Dezmond McKinney,G,6-0,185.0,Bellarmine,Jr,-,Raytown (MO),Raytown South High School
