,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
150,Vice Zanki,G,6-7,,Eastern Washington,Fr,"Apr 28, 2004",Zagreb,
45,Sebastian Hartmann,F,6-5,210.0,Eastern Washington,Fr,"Sep 20, 2004",Munich,
104,Ethan Price,PF,6-10,230.0,Eastern Washington,Jr,"Oct 1, 2001",Ipswich,
28,Dane Erikstrup,C,6-10,240.0,Eastern Washington,Jr,"Apr 3, 2003",Portland (OR),Beaverton High School
121,Jackson Seale,C,6-10,,Eastern Washington,Fr,-,McKinney (TX),McKinney High School
57,Casey Jones,F,6-6,220.0,Eastern Washington,Jr,"Jul 12, 2002",Sammamish (WA),Wasatch Academy
88,Andre Mulibea,SF,6-5,210.0,Eastern Washington,Jr,"Dec 9, 2001",Salt Lake City (UT),East High School
66,Jake Kyman,SF,6-7,215.0,Eastern Washington,Sr,"Jul 10, 2000",Rancho Santa Margarita (CA),Santa Margarita Catholic High School
140,LeJuan Watts,F,6-6,225.0,Eastern Washington,So,"Oct 10, 2003",Fresno (CA),Bullard High School
18,Cedric Coward,F,6-6,205.0,Eastern Washington,Jr,"Sep 11, 2003",Fresno (CA),Fresno Central High School
73,Ellis Magnuson,G,6-2,190.0,Eastern Washington,Sr,"Apr 10, 2001",Boise (ID),Borah High School
74,Emmett Marquardt,F,6-8,,Eastern Washington,Fr,-,Seattle (WA),Garfield High School
143,Mason Williams,G,6-5,,Eastern Washington,Fr,-,Seattle (WA),O'Dea High School
76,Nic McClain,G,6-4,195.0,Eastern Washington,Jr,-,Jennings (FL),Suwannee High School
10,Trevon Blassingame,F,6-4,184.0,Idaho,So,-,Auburn (WA),Auburn Senior High School
44,Takai Hardy,F,6-7,,Idaho,Fr,-,Fairfield (CA),Sunrise Christian Academy
82,Julius Mims,F,6-9,,Idaho,Jr,-,Billings (MT),Skyview High School
33,Terren Frank,F,6-8,229.0,Idaho,Sr,"Dec 6, 2000",Chatsworth (CA),Sierra Canyon School
114,Kyson Rose,F,6-9,240.0,Idaho,Jr,-,Kennewick (WA),Kamiakin High School
