,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
70,Efe Gucoglu,G,6-3,180.0,Campbell,Fr,"Feb 28, 2004",Istanbul,Capistrano Valley High School
17,Justin Boggs,G,6-2,180.0,Campbell,Fr,-,Ashburn (VA),St. Paul VI High School
214,Laurynas Vaistaras,SF,6-6,215.0,Campbell,Sr,"Jan 16, 2001",Plunge,
15,Broc Bidwell,G,6-0,170.0,Campbell,So,"Oct 18, 2001",Cumming (GA),Milton High School
46,Nolan Dorsey,PG,6-5,205.0,Campbell,Sr,"May 16, 2001",Knightdale (NC),Millbrook High School
189,Jasin Sinani,G,6-3,195.0,Campbell,Jr,"Jul 8, 2000",Oak Creek (WI),Oak Creek High School
97,Wesley Johnson,C,7-0,230.0,Campbell,So,"Oct 1, 2003",Raleigh (NC),Leesville High School
40,Anthony Dell'Orso,GF,6-6,190.0,Campbell,So,"Jul 23, 2003",Melbourne,Marcellin College
135,Gediminas Mokseckas,G,6-4,200.0,Campbell,Sr,"Nov 7, 2000",Vilnius,Archbishop Ryan High School
159,Sam Perez,F,6-8,210.0,Campbell,So,"Oct 17, 2002",Raleigh (NC),Trinity Academy
77,Omar Harris,G,6-3,180.0,Campbell,So,"Apr 12, 2004",Winterville (NC),South Central High School
50,Colby Duggan,F,6-7,210.0,Campbell,Fr,"Apr 22, 2004",Monson (MA),Phillips Academy
107,Alex Kotov,PF,6-10,230.0,Campbell,Sr,-,Moscow,Montverde Academy
69,Mason Grant,G,6-5,205.0,Campbell,So,"Dec 11, 2002",Charleston (SC),Porter-Gaud High School
34,Tasos Cook,G,6-2,200.0,Campbell,Jr,"Dec 10, 2002",Westerville (OH),Westerville Central High School
9,Mehmet Bener,G,6-1,180.0,Campbell,Fr,"Aug 8, 2003",Ankara,
218,Elijah Walsh,F,6-5,185.0,Campbell,So,"Dec 17, 2002",York,The Master's Academy
165,Frankie Policelli,SF,6-9,215.0,Charleston,Sr,"Apr 11, 2000",New Hartford (NY),Long Island Lutheran High School
33,Adam Comer,F,6-9,220.0,Charleston,Jr,"Feb 7, 2003",Spartanburg (SC),Broome High School
133,Jack Miller,G,5-11,173.0,Charleston,Jr,"Oct 2, 2001",Ocean Township (NJ),Brewster Academy
192,Reyne Smith,G,6-2,190.0,Charleston,Jr,"Oct 28, 2002",Ulverstone,Australian Institute of Sport
176,Dylan Ritter,G,6-1,185.0,Charleston,Jr,"Jun 19, 2002",Zionsville (IN),Zionsville High School
180,Kobe Rodgers,G,6-3,180.0,Charleston,Jr,-,Cincinnati (OH),St. Xavier High School
21,Bryce Butler,F,6-5,200.0,Charleston,Sr,-,Latrobe (PA),Greater Latrobe Senior High School
20,Ben Burnham,F,6-7,210.0,Charleston,Jr,"Apr 3, 2002",Nashville (TN),Carmel Christian School
19,Ante Brzovic,PF,6-10,230.0,Charleston,Jr,"Jun 2, 2000",Zagreb,
36,Jordan Crawford,G,6-2,,Charleston,Fr,-,Huntersville (NC),North Mecklenburg High School
104,Evan Kilminster,G,6-4,180.0,Charleston,Fr,"Jul 16, 2003",Newcastle,Australian Centre of Excellence
184,James Scott,C,6-11,205.0,Charleston,Fr,-,Fayetteville (NC),E.E. Smith High School
230,Mayar Wol,F,6-8,182.0,Charleston,Fr,-,Raleigh (NC),Word of God Christian Academy
110,Spencer Legg,F,6-6,205.0,Charleston,So,-,Bradenton (FL),IMG Academy
114,Khalil London,G,6-3,180.0,Charleston,Fr,-,Wyandanch (NY),St. Dominic High School
92,Frankie Idlett,G,6-0,,Charleston,So,-,Miami (FL),IMG Academy
66,C.J. Fulton,PG,6-2,185.0,Charleston,Jr,"Jun 24, 2002",Belfast,
210,Jalun Trent,F,6-4,190.0,Delaware,Sr,-,Upper Darby (PA),Upper Darby High School
48,Gerald Drumgoole,F,6-5,205.0,Delaware,Sr,"Jul 25, 2001",Rochester (NY),La Lumiere School
171,Christian Ray,SG,6-6,210.0,Delaware,Sr,-,Haverford (PA),The Haverford School
52,Houston Emory,F,6-9,195.0,Delaware,So,-,Devon (PA),Blue Ridge School
161,Wes Peterson,F,6-6,180.0,Delaware,Jr,-,Arlington (VA),Bishop O'Connell High School
140,Gabe Moss,F,6-8,218.0,Delaware,So,-,Pottstown (PA),The Hill School
174,Cavan Reilly,GF,6-4,188.0,Delaware,So,-,Arlington (VA),Bishop O'Connell High School
3,Brandon Baffone,G,6-1,175.0,Delaware,Fr,-,Hockessin (DE),Salesianum School
90,Tyler Houser,C,6-9,235.0,Delaware,So,-,Camp Hill (PA),Cedar Cliff High School
94,Kobe Jerome,G,6-4,190.0,Delaware,So,-,New Rochelle (NY),Blue Ridge School
126,Johnny McCoy,F,6-5,190.0,Delaware,Sr,"Feb 3, 2000",Mansfield (OH),Tilton School
14,Zion Bethea,G,6-4,205.0,Delaware,Sr,-,South Orange (NJ),Immaculate Conception High School
38,Jy'Are Davis,SG,6-7,215.0,Delaware,Jr,"Jan 8, 2002",Hockessin (DE),Sanford School
108,Niels Lane,F,6-5,215.0,Delaware,Sr,-,Princeton (NJ),Roselle Catholic High School
153,O.D. Ogunbo,F,6-8,205.0,Delaware,Sr,-,Lagos,Delcastle Technical High School
119,Kobe MaGee,G,6-6,180.0,Drexel,So,-,Allentown (PA),Executive Education Academy Charter School
75,Cole Hargrove,F,6-8,210.0,Drexel,So,-,Norristown (PA),Methacton High School
187,Horace Simmons,F,6-6,195.0,Drexel,Fr,-,Glenside (PA),La Salle College High School
65,Max Fuentes,G,6-3,180.0,Drexel,So,-,Boca Raton (FL),Boca Raton High School
89,Luke House,SF,6-4,210.0,Drexel,Sr,-,Radnor Township (PA),Archbishop John Carroll High School
212,Garfield Turner,F,6-8,225.0,Drexel,Jr,-,Washington (DC),Mt. Zion Prep
136,Lucas Monroe,F,6-6,200.0,Drexel,Sr,-,Abington (PA),Abington Senior High School
