,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
35,Maji David-Maji,F,6-5,245.0,Canisius,So,-,Koji,
154,Davon Ware,G,5-10,170.0,Canisius,Sr,-,Buffalo (NY),Niagara-Wheatfield High School
106,Bryce Okpoh,F,6-7,190.0,Canisius,Sr,-,The Colony (TX),The Colony High School
40,Tre Dinkins,G,6-2,190.0,Canisius,Jr,-,Chester (PA),Cardinal O'Hara High School
54,Youri Fritz,F,6-9,190.0,Canisius,So,"Aug 21, 2003",Tiel,
161,Devean Williams,G,6-3,180.0,Canisius,So,-,Los Angeles (CA),Narbonne High School
55,T.J. Gadsden,F,6-7,195.0,Canisius,Jr,-,New York (NY),
98,Frank Mitchell,F,6-8,240.0,Canisius,Jr,-,Toronto,
110,Cam Palesse,G,6-5,195.0,Canisius,So,-,Waukesha (WI),Waukesha West High School
88,Xzavier Long,F,6-7,190.0,Canisius,Jr,"Dec 6, 2002",Washington (DC),Virginia Academy
38,Nicco DiGiulio,PG,5-10,155.0,Canisius,Fr,-,Williamsville (NY),Williamsville South High School
140,Tahj Staveskie,PG,6-0,165.0,Canisius,Jr,"Aug 29, 2001",Sandusky (OH),SPIRE Sports Academy
151,Siem Uijtendaal,G,6-6,185.0,Canisius,Sr,"May 5, 2001",Haarlem,
75,Joe Jones III,FC,6-10,230.0,Canisius,Sr,"May 26, 1999",Buffalo (NY),Orangeville Prep
114,T.J. Porter,F,6-8,215.0,Canisius,Sr,-,Atlanta (GA),Grayson High School
126,Michael Rogan,F,6-7,195.0,Fairfield,Fr,-,Saratoga Springs (NY),South Kent School
33,Matt Curtis,G,6-4,190.0,Fairfield,Fr,-,Ellington (CT),Avon Old Farms High School
96,Ryan McPartlan,G,6-4,190.0,Fairfield,So,-,Bronx (NY),Fordham Preparatory School
82,Jalen Leach,F,6-4,200.0,Fairfield,Sr,-,Nyack (NY),Tilton School
37,"Anthony Davis, Jr.",F,6-5,180.0,Fairfield,Fr,-,Stephens City (VA),The Miller School of Albemarle
100,Marouf Moumine,GF,6-6,185.0,Fairfield,Fr,"Dec 4, 2004",Garoua,Cardinal Newman High School
18,Jack Brown,F,6-6,200.0,Fairfield,Sr,-,Greenville (DE),Brewster Academy
137,Peyton Smith,C,6-10,250.0,Fairfield,Fr,-,Hudson Falls (NY),Hudson Falls High School
51,Caleb Fields,G,6-2,185.0,Fairfield,Sr,-,Cape May Court House (NJ),Wildwood Catholic High School
52,Jasper Floyd,G,6-3,195.0,Fairfield,Jr,-,Tampa (FL),Wharton High School
14,Louis Bleechmore,SG,6-6,205.0,Fairfield,Jr,-,Sydney,Scotland Performance Institute
56,Joe Ganton,G,6-4,190.0,Fairfield,Fr,-,North Caldwell (NJ),West Essex High School
58,Brycen Goodine,G,6-4,180.0,Fairfield,Sr,"Sep 29, 1999",Barrington (RI),St. Andrew's High School
134,Birima Seck,C,6-11,200.0,Fairfield,Jr,"Aug 15, 2002",Louga,Dream City Christian School
166,Alexis Yetna,F,6-8,230.0,Fairfield,Sr,"Oct 9, 1998",Paris,Putnam Science Academy
73,"James Johns, Jr.",F,6-6,185.0,Fairfield,So,-,Claymont (DE),Long Island Lutheran High School
36,Luke Davidson,G,6-0,185.0,Fairfield,So,-,Fayetteville (NY),Fayetteville-Manlius High School
78,Cam Krystkowiak,PF,6-9,215.0,Iona,Sr,"May 8, 1999",Salt Lake City (UT),Northfield Mount Hermon School
132,Dylan Saunders,F,6-8,210.0,Iona,Fr,-,Roanoke (VA),Cave Spring High School
149,Idan Tretout,GF,6-4,200.0,Iona,Sr,"Jan 19, 2000",Brooklyn (NY),Wilbraham & Monson Academy
59,Greg Gordon,F,6-5,210.0,Iona,Jr,-,Coral Springs (FL),Coral Springs High School
49,Rodrigo Farias,G,6-1,155.0,Iona,Fr,-,Flushing (NY),The Skill Factory
135,Osborn Shema,C,7-0,220.0,Iona,Sr,"Jan 5, 1998",Kigali,Combine Academy of Atlanta
162,"Terrell Williams, Jr.",F,6-6,215.0,Iona,Sr,-,Arlington (TX),Mansfield High School
8,Alex Bates IV,G,6-5,190.0,Iona,Fr,-,Charlotte (NC),United Faith Christian Academy
1,Sultan Adewale,PF,6-7,225.0,Iona,Fr,"Nov 19, 2003",London,Neumann-Goretti High School
16,Isaac Brice,F,6-6,205.0,Iona,So,-,Picayune (MS),Picayune High School
111,Wheza Panzo,F,6-7,205.0,Iona,Sr,"Apr 2, 2000",Ontario,Potter's House Christian Academy
117,Jeremiah Quigley,G,5-11,160.0,Iona,Fr,-,Accokeek (MD),Bishop McNamara High School
4,Jean Aranguren,G,6-3,190.0,Iona,Fr,"Jun 2, 2003",Valencia,Springfield Commonwealth Academy
20,Joel Brown,PG,6-2,190.0,Iona,Sr,"Nov 12, 2000",Brampton,Brewster Academy
23,Rohan Chappali,G,5-10,155.0,Iona,Fr,-,Ashburn (VA),
31,Perry Cowan,G,6-4,205.0,Manhattan,Sr,-,Chicago (IL),DePaul Academy
10,Shaquil Bender,G,6-2,185.0,Manhattan,Jr,-,Philadelphia (PA),Lincoln High School
62,Daniel Hackett,G,6-1,175.0,Manhattan,Jr,-,Commack (NY),St. Anthony's High School
65,Raziel Hayun,SF,6-4,187.0,Manhattan,So,"Jul 23, 2001",Eilat,
74,"Tony Johnson, Jr.",PG,6-3,185.0,Manhattan,Sr,"Oct 24, 1999",Eufaula (AL),Eufaula High School
72,Rokas Jocys,F,6-5,200.0,Manhattan,Fr,"Mar 30, 2004",Palanga,
163,Jaden Winston,G,6-0,160.0,Manhattan,Fr,-,Laurel (MD),DeMatha Catholic High School
141,Bryce Stokes,G,6-3,200.0,Manhattan,Fr,-,Paterson (NJ),Eastside High School
156,Lorenzo Washington,G,6-0,170.0,Manhattan,So,-,Middletown (NY),IMG Academy
109,Logan Padgett,GF,6-6,210.0,Manhattan,Sr,-,Homewood (AL),Homewood High School
101,Allen Myers,F,6-9,185.0,Manhattan,Fr,-,Philadelphia (PA),New York Military Academy
80,Michael Lawlor,F,6-8,,Manhattan,Fr,-,Eastchester (NY),Eastchester High School
25,DeJuan Clayton,PG,6-2,185.0,Manhattan,Sr,"May 18, 1997",Washington (DC),St. John's College High School
128,Brett Rumpel,F,6-4,190.0,Manhattan,So,-,Binghamton (NY),Seton Catholic
148,Brehima Seydou Traore,,6-7,215.0,Manhattan,Fr,"Sep 28, 2003",,Our Saviour Lutheran School
124,Wesley Robinson,F,6-7,210.0,Manhattan,Jr,-,Burlington (NJ),Life Center Academy
86,Xinyi Li,C,6-9,235.0,Manhattan,Fr,"Mar 18, 2004",Beijing,St. John Bosco High School
92,Briggs McClain,G,6-4,180.0,Manhattan,Sr,-,Hagerstown (MD),St. Maria Goretti High School
127,Daniel Rouzan,F,6-8,235.0,Manhattan,So,-,Rialto (CA),Balboa School
57,Matt Glassman,PG,6-0,175.0,Manhattan,Sr,"Mar 10, 1999",Bedford (NH),New Hampton School
133,Jason Schofield,C,6-8,205.0,Marist,Fr,-,Poughkeepsie (NY),South Kent School
130,Trace Salton,GF,6-5,195.0,Marist,So,-,Lake Oswego (OR),Lake Oswego High School
112,Josh Pascarelli,G,6-3,175.0,Marist,Fr,-,Cambria Heights (NY),St. Francis Preparatory School
93,Matt McCool,F,6-8,230.0,Marist,So,-,Amherst (NH),South Kent School
116,Jackson Price,F,6-8,240.0,Marist,Jr,-,Hiram (GA),Hiram High School
28,Javon Cooley,GF,6-5,205.0,Marist,Sr,-,Chicago (IL),Bosco Institute
27,Jadin Collins,G,6-1,170.0,Marist,Fr,-,Roselle (NJ),Roselle Catholic High School
153,Mack Wall,F,6-7,210.0,Marist,So,-,Portland (OR),Jesuit High School
17,Isaiah Brickner,G,6-4,190.0,Marist,So,-,San Diego (CA),St. Augustine High School
15,Thomas Botticelli,F,6-4,180.0,Marist,Jr,-,Commack (NY),Commack High School
50,Kam Farris,SG,6-3,175.0,Marist,Sr,"Feb 9, 2001",South Burlington (VT),Rice Memorial High School
34,Jaden Daughtry,F,6-6,195.0,Marist,So,-,Fresh Meadows (NY),AZ Compass Prep
64,Noah Harris,G,6-1,180.0,Marist,Jr,-,Somerset (NJ),Rutgers Preparatory School
2,Max Allen,F,6-9,250.0,Marist,So,-,Las Vegas (NV),AZ Compass Prep
142,Isaiah Sulack,G,6-5,195.0,Marist,Sr,"Jan 8, 1999",Knoxville (TN),Believe Prep
7,Frantisek Barton,F,6-7,210.0,Mount St. Mary's,Sr,-,Brno,Get Better Academy
29,Jedy Cordilia,PF,6-9,210.0,Mount St. Mary's,Jr,"Feb 11, 2002",Tilburg,West Nottingham Academy
107,Joshua Olaosebikan,G,6-1,185.0,Mount St. Mary's,Jr,-,Waldorf (MD),North Point High School
104,Jonathan Ogunfuye,F,6-7,190.0,Mount St. Mary's,Fr,-,Houston (TX),SPIRE Sports Academy
99,DeShayne Montgomery,F,6-4,190.0,Mount St. Mary's,Fr,-,Sunrise (FL),Hargrave Military Academy
5,"Terrell Ard, Jr.",F,6-7,220.0,Mount St. Mary's,Sr,-,Acworth (GA),Putnam Science Academy
71,Ron Jessamy,F,6-8,210.0,Mount St. Mary's,Fr,-,Clarksville (TN),Huntington Prep
119,Josh Reaves,F,6-4,205.0,Mount St. Mary's,Sr,-,Hamden (CT),South Kent School
0,Dola Adebayo,F,6-8,210.0,Mount St. Mary's,So,-,Ocala (FL),Canterbury School
63,Patrick Haigh,G,6-4,190.0,Mount St. Mary's,Fr,-,Altoona (PA),Bishop Guilfoyle Catholic High School
87,Xavier Lipscomb,G,6-2,195.0,Mount St. Mary's,Sr,-,Alexandria (VA),St. Stephen's & St. Agnes School
41,Malcolm Dread,F,6-4,210.0,Mount St. Mary's,So,"Mar 1, 2002",Washington (DC),Gonzaga College High School
67,Dallas Hobbs,G,6-1,160.0,Mount St. Mary's,Fr,-,DeSoto (TX),Dynamic Prep
147,George Tinsley,F,6-6,210.0,Mount St. Mary's,Sr,"Dec 8, 2000",Clarks Summit (PA),Abington Heights High Schoool
83,Dakota Leffew,G,6-5,185.0,Mount St. Mary's,Sr,-,Jonesboro (GA),Jonesboro High School
103,Harlan Obioha,C,7-0,280.0,Niagara,So,-,Hoxie (KS),Hoxie High School
66,Ahmad Henderson II,G,5-9,,Niagara,Fr,-,Monee (IL),Brother Rice High School
89,Kwane Marble II,F,6-5,195.0,Niagara,Sr,-,Denver (CO),East High School
102,Yaw Obeng-Mensah,C,6-7,215.0,Niagara,Sr,-,Toronto,Emery Collegiate Institute
21,Quandre Bullock,GF,6-6,190.0,Niagara,Jr,-,Raleigh (NC),Word of God Christian Academy
47,Lance Erving,G,6-3,190.0,Niagara,Sr,-,Leesburg (FL),Leesburg High School
129,Aime Rutayisire,C,6-8,230.0,Niagara,So,-,Adelaide,
22,Luke Bumbalough,G,6-1,180.0,Niagara,Sr,-,New Castle (IN),New Castle Chrysler High School
97,David Mitchell,G,6-6,210.0,Niagara,Sr,-,Roxbury (MA),Belmont Hill School
44,Malik Edwards,G,6-2,180.0,Niagara,Jr,-,Drexel Hill (PA),Monsignor Bonner/Archbishop Prendergast High School
150,Randy Tucker,G,6-4,190.0,Niagara,Sr,-,Rock Island (IL),Rock Island High School
19,Jalen Brown,G,5-10,160.0,Niagara,So,-,Chicago (IL),De La Salle Institute
9,Braxton Bayless,G,6-2,185.0,Niagara,Sr,-,Ankeny (IA),Ankeny High School
152,Rihards Vavers,F,6-7,,Quinnipiac,Fr,"Nov 17, 2003",Adazi,
146,Amarri Tice,F,6-7,220.0,Quinnipiac,So,-,Newburgh (NY),South Kent School
121,Alexis Reyes,GF,6-7,195.0,Quinnipiac,Jr,"Feb 9, 2002",Boston (MA),Cushing Academy
122,J.J. Riggins,SF,6-6,245.0,Quinnipiac,Sr,-,Philadelphia (PA),Imhotep Charter School
144,Elijah Taylor,C,6-8,240.0,Quinnipiac,Jr,-,Philadelphia (PA),Imhotep Charter School
139,Richie Springs,SF,6-9,235.0,Quinnipiac,Sr,"Sep 28, 2001",Granby (MA),MacDuffie School
84,Arion Lewis,G,6-3,175.0,Quinnipiac,Sr,-,Philadelphia (PA),Valley Forge Military Academy
108,Paul Otieno,F,6-8,225.0,Quinnipiac,Sr,-,Nairobi,
61,Quinn Guth,G,6-2,185.0,Quinnipiac,Jr,-,Brookfield (CT),Kimball Union Academy
6,Matt Balanc,G,6-4,195.0,Quinnipiac,Sr,-,Silver Spring (MD),Springbrook High School
11,Khaden Bennett,F,6-4,190.0,Quinnipiac,Fr,-,Grand Prairie (TX),South Grand Prairie High School
90,Nicholas Margetson,G,6-1,178.0,Quinnipiac,Sr,-,Dix Hills (NY),Holy Trinity Diocesan High School
85,Savion Lewis,PG,6-1,175.0,Quinnipiac,Sr,"Jul 18, 2000",Manhasset (NY),Half Hollow Hills East High School
167,Doug Young,G,6-0,,Quinnipiac,Jr,-,Houston (TX),
76,Daemar Kelly,GF,6-5,,Quinnipiac,Fr,-,Pittsburgh (PA),Penn Hills High School
131,Moustapha Sanoh,C,6-11,200.0,Rider,Fr,-,Allentown (PA),Executive Education Academy Charter School
115,Allen Powell,G,6-2,175.0,Rider,Sr,-,Glenside (PA),La Salle College High School
157,"T.J. Weeks, Jr.",G,6-4,190.0,Rider,Sr,"Mar 15, 2000",Warwick (RI),Woodstock Academy
69,Tariq Ingraham,PF,6-9,255.0,Rider,Sr,"Oct 3, 2000",Wilmington (DE),Monsignor Bonner/Archbishop Prendergast High School
158,Tyriek Weeks,F,6-6,200.0,Rider,So,-,Warwick (RI),Pilgrim High School
70,Mervin James,F,6-7,215.0,Rider,Sr,"Oct 27, 2000",St. Thomas (VI),Pebblebrook High School
77,Drew Kousaie,G,6-0,174.0,Rider,So,-,Kissimmee (FL),Windermere Preparatory School
42,D.J. Dudley,G,6-4,190.0,Rider,Fr,-,San Diego (CA),Fairfax High School
159,Ife West-Ingram,F,6-6,205.0,Rider,Fr,-,Philadelphia (PA),Abington Friends School
91,Anthony McCall,G,6-4,191.0,Rider,So,-,Philadelphia (PA),Academy of the New Church High School
125,Ruben Rodriguez,G,6-2,175.0,Rider,Fr,"Jan 4, 2005",,Reading High School
94,Jack McFadden,G,6-4,185.0,Rider,So,-,Endwell (NY),Maine-Endwell High School
95,Corey McKeithan,G,6-2,175.0,Rider,Sr,-,Windsor (CT),Windsor High School
3,Nic Anthony,G,6-3,180.0,Rider,Fr,-,Raleigh (NC),North Raleigh Christian Academy
79,"JT Langston, Jr.",F,6-8,205.0,Rider,Jr,-,Fort Wayne (IN),San Gabriel Academy
39,Oumar Diahame,C,6-10,225.0,Saint Peter's,Sr,"May 30, 2001",Dakar,The Patrick School
13,Brent Bland,G,6-3,205.0,Saint Peter's,So,-,Wheatley Heights (NY),Half Hollow Hills West High School
165,Elijah Wood,PG,6-6,180.0,Saint Peter's,Sr,-,Potomac (MD),Bethesda-Chevy Chase High School
155,Corey Washington,F,6-6,180.0,Saint Peter's,So,-,North Little Rock (AR),North Little Rock High School
24,Roy Clarke,G,6-4,210.0,Saint Peter's,Sr,-,Bronx (NY),Fremont Christian School
113,Elijah Perkins,G,6-4,195.0,Saint Peter's,Fr,-,Tinton Falls (NJ),Camden High School
168,Armonii Zeigler,G,6-4,185.0,Saint Peter's,Fr,-,Amityville (NY),Our Saviour Lutheran School
138,Mouhamed Sow,SG,6-9,195.0,Saint Peter's,So,"Dec 24, 2002",Dakar,The Patrick School
118,Marcus Randolph,GF,6-5,205.0,Saint Peter's,Jr,"Jan 12, 2003",Willingboro (NJ),Archbishop Wood High School
120,Latrell Reid,G,6-3,185.0,Saint Peter's,Sr,-,Willingboro (NJ),Trenton Catholic Academy
123,Stephon Roberts,C,6-10,230.0,Saint Peter's,Jr,-,Brooklyn (NY),Medgar Evers College Preparatory School
143,Jaheim Tanksley,G,5-10,169.0,Saint Peter's,Jr,-,Scotch Plains (NJ),Union Catholic Regional High School
68,Michael Houge,F,6-7,225.0,Saint Peter's,Sr,-,Detroit (MI),Chattanooga Christian High School
164,Kyle Winters,F,6-3,197.0,Siena,Fr,-,Corte Madera (CA),New Hampton School
105,Michael Ojo,G,6-7,206.0,Siena,Fr,-,Virginia Beach (VA),Moravian Prep
12,Sveinn Birgisson,F,6-8,197.0,Siena,So,"May 22, 2002",Reykjavik,
160,Carson White,F,6-8,218.0,Siena,Fr,-,Phoenix (AZ),Desert Vista High School
81,Steven Lazar,F,6-6,180.0,Siena,Sr,-,Toronto,Crestwood Preparatory College
45,Michael Eley,G,6-4,185.0,Siena,So,-,Fort Wayne (IN),Veritas Academy
46,Giovanni Emejuru,C,6-11,265.0,Siena,So,"Dec 21, 2002",Loughborough,Charnwood College
60,Killian Gribben,C,6-10,216.0,Siena,So,"May 30, 2003",Letterkenny,Choate Rosemary
26,Mosi Clayton,G,6-1,181.0,Siena,Fr,-,Brooklyn (NY),Believe Prep
30,Mason Courtney,G,6-4,183.0,Siena,So,-,Clifton Park (NY),Shenendehowa High School
32,Brendan Coyle,GF,6-7,207.0,Siena,So,-,Niskayuna (NY),Cushing Academy
48,Mike Evbagharu,SG,6-4,213.0,Siena,Fr,"Oct 22, 2004",Toronto,Royal Crown Academic School
145,Zek Tekin,PG,6-2,165.0,Siena,So,"May 13, 2004",Istanbul,
43,Sean Durugordon,F,6-5,218.0,Siena,Jr,-,Putnam (CT),Putnam Science Academy
136,Bralyn Smith,F,6-5,175.0,Siena,Fr,-,Dallas (TX),Saint Benedict's Preparatory School
53,Max Frazier,F,6-9,203.0,Siena,Fr,-,Pittsboro (NC),Northwood High School
