,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
41,Mikal Dawson,SG,6-5,222.0,Akron,Sr,"Jan 30, 2000",Huntington (WV),Huntington Prep
97,Amani Lyles,F,6-7,226.0,Akron,So,-,Cincinnati (OH),Beechcroft High School
129,"Ryan Prather, Jr.",GF,6-5,205.0,Akron,Fr,-,Clarksburg (MD),Liberty Heights Athletic Institute
141,Shammah Scott,G,6-2,180.0,Akron,Jr,-,Cleveland (OH),Shaker Heights High School
13,Darrion Baker,F,6-8,225.0,Akron,Fr,-,Country Club Hills (IL),Hillcrest High School
86,Tavari Johnson,G,5-11,155.0,Akron,So,-,Chicago (IL),Lyons Township
85,Nate Johnson,G,6-3,204.0,Akron,So,-,Middletown (OH),Lakota East High School
118,Marvin Musiime-Kamali,GF,6-6,195.0,Akron,Fr,-,Boston (MA),Cushing Academy
79,Sammy Hunter,C,6-9,225.0,Akron,Sr,"Nov 28, 2000",Nassau,British Columbia Christian Academy
103,Pat Mayfield,G,6-5,185.0,Akron,Sr,-,Elgin (IL),Burlington Central High School
66,Zach Halligan,GF,6-4,205.0,Akron,Fr,-,Uniontown (OH),Walsh Jesuit High School
160,Kaleb Thornton,G,6-0,175.0,Akron,Sr,-,Bolingbrook (IL),Woodstock Academy
5,Ali Ali,F,6-8,205.0,Akron,Sr,"Mar 8, 2001",Kuala Lumpur,East Noble High School
55,Enrique Freeman,F,6-7,206.0,Akron,Sr,"Jul 29, 2000",Cleveland (OH),St. Martin de Porres High School
163,Greg Tribble,PG,6-3,195.0,Akron,Sr,"Aug 28, 2001",Cincinnati (OH),Winton Woods High School
170,Evan Wilson,G,6-2,200.0,Akron,Jr,-,Noblesville (IN),Noblesville High School
58,Jack Futa,G,6-5,195.0,Ball State,So,-,South Bend (IN),Saint Joseph's High School
175,Jurica Zagorsak,G,6-6,,Ball State,Fr,"Jan 14, 2005",,
24,Joey Brown,PG,6-5,170.0,Ball State,Fr,-,Indianapolis (IN),North Central High School
71,Ben Hendriks,C,6-10,215.0,Ball State,Sr,"Jun 6, 2000",Mississauga,Orangeville Prep
83,Basheer Jihad,F,6-9,220.0,Ball State,Jr,-,Farmington (MI),North Farmington High School
88,Mason Jones,F,6-7,,Ball State,Fr,-,Valparaiso (IN),Valparaiso High School
109,Trent Middleton,G,6-3,,Ball State,Fr,-,Philadelphia (PA),"Mathematics, Civics and Sciences Charter School"
43,Zane Doughty,FC,6-9,205.0,Ball State,Fr,-,Indianapolis (IN),Ben Davis High School
125,"Mickey Pearson, Jr.",PF,6-7,210.0,Ball State,Sr,"Feb 11, 2000",Elizabethtown (KY),Hargrave Military Academy
17,Micah Bell,G,6-3,165.0,Ball State,So,-,Austell (GA),Chapel Hill High School
12,Davion Bailey,G,6-4,190.0,Ball State,Sr,-,Indianapolis (IN),Pike High School
3,Quincy Adams,G,6-5,180.0,Ball State,So,-,Frisco (TX),Hamilton High School
9,Jalin Anderson,G,6-3,185.0,Ball State,Sr,-,Chandler (AZ),Dream City Christian School
21,Ethan Brittain-Watts,PG,6-2,180.0,Ball State,Sr,"Feb 1, 2002",Culver (IN),Culver Military Academy
46,P.J. Edwards,G,6-4,200.0,Bowling Green,So,-,Springfield (IL),Minnesota Preparatory Academy
53,Jamai Felt,F,6-9,210.0,Bowling Green,Fr,-,Boston (MA),Our Saviour Lutheran School
162,Sam Towns,SF,6-9,200.0,Bowling Green,Sr,-,Columbus (OH),Pickerington High School Central
64,EJay Greer,G,6-8,170.0,Bowling Green,Fr,-,Landsfield (PA),Rocktop Academy
104,Anthony McComb III,G,6-3,180.0,Bowling Green,So,-,Dayton (OH),Trotwood-Madison High School
150,Jason Spurgin,C,6-11,250.0,Bowling Green,Sr,-,Toowoomba,Downlands College
72,Marcus Hill,G,6-4,185.0,Bowling Green,Jr,-,Chicago (IL),Rockford Christian School
149,Greg Spurgin,F,6-7,195.0,Bowling Green,So,-,Toowoomba,Toowoomba Grammar School
146,D.J. Smith,PG,6-0,160.0,Bowling Green,Jr,-,North Little Rock (AR),North Little Rock High School
126,Da'Shawn Phillip,SG,6-5,172.0,Bowling Green,Sr,-,Baltimore (MD),Mt. Zion Prep
158,Trey Thomas,G,6-0,160.0,Bowling Green,Sr,-,Durham,Crestwood Preparatory College
75,DaJion Humphrey,G,6-4,185.0,Bowling Green,Sr,-,Detroit (MI),Southfield Christian School
176,J.Z. Zaher,G,6-0,165.0,Bowling Green,So,-,Fenton (MI),Flint Powers Catholic High School
4,Rashaun Agee,F,6-8,225.0,Bowling Green,Jr,-,Chicago (IL),Bogan High School
2,Isaiah Adams,SF,6-6,210.0,Buffalo,Sr,"Nov 26, 2001",Jacksonville (FL),Paxon High School
108,Lloyd McVeigh,F,6-6,,Buffalo,Fr,"Nov 17, 2003",,
19,"Anquan Boldin, Jr.",F,6-5,180.0,Buffalo,Fr,-,,
87,Kanye Jones,G,6-4,190.0,Buffalo,Jr,-,Orlando (FL),Windermere Preparatory School
169,Bryson Wilson,F,6-5,,Buffalo,Fr,-,Alexandria (VA),
168,Zaakir Williamson,F,6-7,230.0,Buffalo,So,-,Philadelphia (PA),Neumann-Goretti High School
