,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
84,Darryon Prescott,C,7-0,220.0,Coppin State,Fr,-,Philadelphia (PA),"Mathematics, Civics and Sciences Charter School"
58,Aa'Reyon Jones,G,6-3,185.0,Coppin State,Fr,-,Chicago (IL),Hillcrest High School
23,Daiquan Copeland,F,6-6,215.0,Coppin State,Sr,-,Philadelphia (PA),Girard College
131,Justin Winston,PF,6-8,220.0,Coppin State,Sr,-,West Orange (NJ),The Patrick School
98,Greg Spurlock,F,6-5,196.0,Coppin State,Jr,-,Ashburn (VA),Rock Ridge High School
89,Preist Ryan,GF,6-6,200.0,Coppin State,Fr,-,Pittsburgh (PA),Perkiomen School
40,Don Don Ferguson,G,6-2,170.0,Coppin State,Fr,"May 26, 2003",St. Cloud (MN),St. Cloud High Tech High School
128,Ronnie Williams,F,6-5,200.0,Coppin State,So,-,Tampa (FL),
50,Khalil Horton,F,6-8,200.0,Coppin State,Fr,-,Erie (PA),Legacy Early College
48,Zahree Harrison,G,6-0,185.0,Coppin State,Sr,-,Wyncote (PA),Cheltenham High School
5,Ryan Archey,G,6-1,175.0,Coppin State,Fr,"Oct 4, 2003",Clinton (MD),Gwynn Park High School
112,Luka Tekavcic,PF,6-11,200.0,Coppin State,Jr,"May 21, 2002",Ljubljana,Central Pointe Christian Academy
38,Toto Fagbenle,FC,6-9,220.0,Coppin State,Sr,-,London,
43,Isaiah Gross,G,6-4,210.0,Coppin State,Jr,"Dec 19, 2000",Lanham (MD),Eleanor Roosevelt High School
8,Malik Battle,G,6-3,170.0,Coppin State,Sr,-,Douglasville (GA),Robert S. Alexander High School
97,Cameron Sparrow,G,6-4,185.0,Coppin State,Fr,-,Baltimore (MD),New Town High School
102,Brandon Stone,PF,6-11,200.0,Delaware State,Sr,-,Alverton (PA),Christ School
29,Ricky Deadwyler III,F,6-4,,Delaware State,Jr,-,Wilmington (DE),Tower Hill School
101,Cameron Stitt,F,6-8,205.0,Delaware State,Jr,-,Charlotte (NC),United Faith Christian Academy
99,Khyrie Staten,G,6-1,,Delaware State,Jr,-,Baltimore (MD),St. Frances Academy
108,Deywilk Tavarez,G,6-2,,Delaware State,Fr,-,Pennsauken (NJ),
