,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
17,Wyatt Bell,G,6-1,165.0,Air Force,So,-,Buckeye (AZ),Paradise Honors High School
59,Josh Gatete,F,6-9,190.0,Air Force,Fr,-,Granger (IN),Penn High School
61,Kolby Gilles,F,6-5,240.0,Air Force,Fr,-,Chicago (IL),St. Ignatius College Prep
64,Warren Gorman,F,6-7,205.0,Air Force,Fr,-,Washington (DC),Bishop Ireton High School
67,Corbin Green,F,6-5,230.0,Air Force,So,"Nov 22, 2002",Midlothian (TX),Midlothian High School
86,Solo Jones,GF,6-8,199.0,Air Force,So,-,Long Beach (CA),Los Alamitos High School
27,Byron Brown,GF,6-4,205.0,Air Force,Jr,-,Sahuarita (AZ),Sahuaro High School
88,Luke Kearney,F,6-7,205.0,Air Force,Fr,-,Phoenix (AZ),
24,Kellan Boylan,GF,6-6,190.0,Air Force,So,-,Shawnee Mission (KS),Bishop Miege High School
21,Wyatt Boeker,F,6-8,205.0,Air Force,Fr,-,The Woodlands (TX),The Woodlands Christian Academy
108,Jeffrey Mills,SG,6-4,200.0,Air Force,Jr,-,Flower Mound (TX),Flower Mound High School
111,Lucas Moerman,C,6-10,205.0,Air Force,Jr,-,Colorado Springs (CO),Doherty High School
16,Beau Becker,F,6-7,205.0,Air Force,Jr,-,Dallas (TX),Woodrow Wilson High School
15,Chase Beasley,SF,6-7,190.0,Air Force,Jr,-,Alexandria (VA),St. Stephen's & St. Agnes School
34,Wesley Celichowski,C,7-0,245.0,Air Force,Fr,-,Floyds Knobs (IN),Floyd Central High School
135,Nate Robinson,G,5-9,145.0,Air Force,Fr,-,Orlando (FL),Bishop Moore High School
138,Brady Ruggles,F,6-6,195.0,Air Force,Fr,-,Wheaton (IL),Danville High School
3,Sam Akinrelere,G,6-2,228.0,Air Force,Fr,-,Houston (TX),Foster High School
140,Dawson Sarblah,F,6-6,200.0,Air Force,Jr,-,Greenville (AL),Greenville High School
164,Caleb Walker,C,6-9,230.0,Air Force,Fr,-,Jefferson City (MO),Eugene High School
122,Rytis Petraitis,G,6-7,210.0,Air Force,Jr,-,Arlington (TX),Oak Ridge High School
153,Ethan Taylor,SG,6-5,195.0,Air Force,Jr,-,Houston (TX),Memorial High School
129,Kade Rice,G,6-4,182.0,Boise State,Fr,-,Boise (ID),Link Year Prep
176,Sam Winter,G,6-2,185.0,Boise State,Sr,-,Montesano (WA),Montesano High School
174,Jace Whiting,G,6-2,185.0,Boise State,So,-,Syracuse (NY),Burley High School
161,Emmanuel Ugbo,F,6-8,235.0,Boise State,Fr,"Apr 14, 2003",Barendrecht,
148,O'Mar Stanley,C,6-8,230.0,Boise State,Jr,-,Branson (MO),Link Year Prep
95,"Chris Lockett, Jr.",F,6-5,205.0,Boise State,Fr,"Nov 6, 2004",New Orleans (LA),Isidore Newman School
101,Alex Martin,F,6-5,220.0,Boise State,Fr,-,Webb City (MO),Webb City High School
102,Cam Martin,F,6-9,230.0,Boise State,Sr,-,Yukon (OK),Yukon High School
107,Andrew Meadow,F,6-7,215.0,Boise State,Fr,-,Stevenson Ranch (CA),West Ranch High School
46,Tyson Degenhart,F,6-8,242.0,Boise State,Jr,"Oct 13, 2002",Spokane (WA),Mt. Spokane High School
130,Max Rice,G,6-5,200.0,Boise State,Sr,-,Boise (ID),Bishop Kelly High School
151,Mohamed Sylla,C,6-11,240.0,Boise State,Sr,"Jan 31, 2005",Abidjan,Putnam Science Academy
89,R.J. Keene,F,6-6,202.0,Boise State,So,-,Tomball (TX),Concordia Lutheran High School
179,Kobe Young,F,6-6,208.0,Boise State,So,-,Pasco (WA),Chiawana High School
7,Roddie Anderson III,G,6-2,190.0,Boise State,So,"Mar 29, 2004",Huntington Beach (CA),Fountain Valley High School
1,Chibuzo Agbo,GF,6-7,223.0,Boise State,Sr,-,San Diego (CA),St. Augustine High School
14,Vince Barringer,F,6-6,219.0,Boise State,Fr,-,Mountain View (CA),St. Francis High School
52,Kyle Evans,FC,6-10,200.0,Colorado State,So,-,Rancho Santa Margarita (CA),Santa Margarita Catholic High School
51,Kyan Evans,G,6-2,175.0,Colorado State,Fr,-,Kansas City (MO),Staley High School
118,Joe Palmer,G,6-4,190.0,Colorado State,Sr,-,Faribault (MN),Faribault High School
112,Luke Murphy,G,6-2,170.0,Colorado State,Fr,-,Calabasas (CA),Southern California Academy of Sciences
149,Isaiah Stevens,PG,6-0,185.0,Colorado State,Sr,"Nov 1, 2000",Allen (TX),Allen High School
80,Taviontae Jackson,G,6-2,165.0,Colorado State,So,"Dec 13, 2003",Las Vegas (NV),Las Vegas High School
33,Patrick Cartier,F,6-8,220.0,Colorado State,Sr,-,Brookfield (WI),Brookfield East High School
150,Josiah Strong,G,6-4,195.0,Colorado State,Sr,-,Brooklyn Park (MN),Champlin Park High School
35,Nique Clifford,F,6-6,191.0,Colorado State,Sr,"Feb 9, 2002",Colorado Springs (CO),The Vanguard School
105,Rashaan Guylain Mbemba,F,6-7,250.0,Colorado State,Fr,"Oct 15, 2003",Vienna,
97,Cam Lowe,F,6-5,182.0,Colorado State,Fr,-,Monument (CO),Lewis-Palmer High School
92,Jalen Lake,SG,6-4,190.0,Colorado State,Jr,-,Waxahachie (TX),Waxahachie High School
83,Javonte Johnson,GF,6-6,215.0,Colorado State,Sr,-,Colorado Springs (CO),Cheyenne Mountain High School
143,Joel Scott,SF,6-7,225.0,Colorado State,Sr,-,Monument (CO),Lewis-Palmer High School
120,Jack Payne,GF,6-6,195.0,Colorado State,Fr,-,Boise (ID),Owyhee High School
124,Isaiah Pope,PG,6-5,202.0,Fresno State,Sr,"Mar 22, 2001",Orange (CA),Orange Lutheran High School
20,Enoch Boakye,FC,6-10,240.0,Fresno State,Jr,"Mar 24, 2003",Brampton,George Harris Prep Academy
178,Donavan Yap,G,6-5,185.0,Fresno State,Sr,"Apr 21, 2002",Las Vegas (NV),Arbor View High School
72,Isaiah Hill,PG,6-0,170.0,Fresno State,Sr,-,Bakersfield (CA),Liberty High School
60,"Pierre Geneste, Jr.",C,6-11,210.0,Fresno State,So,-,Los Angeles (CA),Ribet Academy
78,Chuks Isitua,C,6-10,220.0,Fresno State,Jr,-,Lagos,Yates High School
132,A.J. Robinson,PG,5-10,173.0,Fresno State,Fr,-,Long Beach (CA),Crenshaw High School
38,Leo Colimerio,GF,6-7,190.0,Fresno State,Sr,"Mar 9, 2001",Sao Paulo,Wasatch Academy
134,Mykell Robinson,F,6-7,195.0,Fresno State,Jr,-,Houston (TX),Sunrise Christian Academy
10,Eduardo Andre,C,6-11,240.0,Fresno State,Jr,"May 17, 2001",Luanda,AZ Compass Prep
50,Xavier Dusell,SG,6-4,190.0,Fresno State,Sr,-,Gilbert (AZ),Chaparral High School
145,Jeff Sims,G,6-1,170.0,Fresno State,Fr,-,Menifee (CA),Santa Rosa Academy
