,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
0,Bilal Abdur-Rahman,G,5-11,160.0,Alabama A&M,Fr,-,Atlanta (GA),Norcross High School
63,Austin Harvell,F,6-6,215.0,Alabama A&M,Jr,"Jun 29, 2002",Athens (AL),East Limestone High School
73,Joshua Hughley,G,5-9,160.0,Alabama A&M,Fr,-,Mobile (AL),
86,Nari Jordan,FC,6-8,215.0,Alabama A&M,Jr,-,Jacksonville (FL),Paxon High School
38,Lorenzo Downey,F,6-5,215.0,Alabama A&M,Jr,-,Halifax,Orangeville Prep
95,Eric Lee,G,6-4,195.0,Alabama A&M,Jr,-,Tampa (FL),Surge Christian Academy
33,Clance Crosby,F,6-9,215.0,Alabama A&M,Jr,-,Midwest City (OK),
112,Dylan McLean,SG,6-4,190.0,Alabama A&M,Jr,-,Brooklyn (NY),Heritage High School
118,Chad Moodie,F,6-8,225.0,Alabama A&M,Fr,-,Grayson (GA),Grayson High School
136,Ademola Oladipo,F,6-6,200.0,Alabama A&M,Fr,-,Houston (TX),Saint Mary's Hall
142,Omari Peek,F,6-6,220.0,Alabama A&M,Sr,"Apr 19, 2000",Cincinnati (OH),Dohn Community High School
146,Jayland Randall,F,6-5,175.0,Alabama A&M,So,-,Detroit (MI),Chandler Park High School
17,Anthony Bryant,F,6-3,185.0,Alabama A&M,So,-,Shreveport (LA),Captain Shreve High School
153,London Riley,GF,6-3,180.0,Alabama A&M,Sr,"Nov 6, 2001",Lawrenceville (GA),Discovery High School
15,Caleb Blackwell,G,6-0,185.0,Alabama A&M,Fr,-,Loganville (GA),Grayson High School
137,Darius Osborne,F,6-8,185.0,Alabama A&M,Sr,-,Louisville (KY),Pleasure Ridge Park High School
162,Dailin Smith,GF,6-6,185.0,Alabama A&M,Sr,"Jul 15, 2001",Colorado Springs (CO),Liberty High School
12,Josh Bell,G,6-1,165.0,Alabama A&M,Fr,-,Mobile (AL),Cottage Christian Hill Academy
195,E.J. Williams,C,6-10,275.0,Alabama A&M,Sr,"Dec 29, 1999",Middletown (OH),The Skill Factory
179,Cameron Tucker,G,6-1,170.0,Alabama A&M,Sr,-,Birmingham (AL),Wenonah High School
161,Aaron Smith,F,6-4,185.0,Alabama A&M,Fr,-,Kennesaw (GA),Kell High School
173,William Tavares de Brito,C,6-10,250.0,Alabama A&M,Sr,-,,
196,Jabari Williams,C,6-11,205.0,Alabama State,Jr,-,St. John's,Calusa Preparatory School
70,C.J. Hines,G,6-2,185.0,Alabama State,Jr,-,Atlanta (GA),Archer High School
79,Tadarius Jacobs,SG,6-2,185.0,Alabama State,Jr,-,Memphis (TN),Memphis East High School
185,Jasteven Walker,C,6-10,190.0,Alabama State,So,-,Somerville (TN),Fayette-Ware High School
90,Amarr Knox,G,6-3,170.0,Alabama State,So,-,Memphis (TN),Bartlett High School
29,London Coleman,G,6-3,190.0,Alabama State,Jr,-,Las Vegas (NV),Silverado High School
99,T.J. Madlock,PG,6-3,190.0,Alabama State,Jr,-,Oxford (MS),Houston High School
27,"Eric Coleman, Jr.",SF,6-8,210.0,Alabama State,Sr,"Oct 11, 2000",Alpharetta (GA),Buford High School
135,Ubong Okon,C,7-1,230.0,Alabama State,Sr,-,Akwukwu,
148,Darrell Reed,F,6-8,215.0,Alabama State,So,-,Hammond (IN),Hammond High School
147,Isaiah Range,SG,6-4,215.0,Alabama State,Sr,-,Cedar Hill (TX),Trinity Christian High School
164,Sean Smith,G,6-3,185.0,Alabama State,Jr,-,Louisville (KY),
10,D'Ante Bass,F,6-6,205.0,Alabama State,So,-,Savannah (GA),Windsor Forest High School
134,Micah Octave,F,6-5,185.0,Alabama State,Jr,-,Boca Raton (FL),Olympic Heights High School
140,Kendal Parker,G,6-4,180.0,Alabama State,So,-,Montgomery (AL),Carver High School
64,Jalen Hawkins,G,6-4,185.0,Alcorn State,Sr,"Jun 3, 1999",Utica (NY),Proctor Academy
69,Jaylon Hicks,SG,6-5,190.0,Alcorn State,Fr,-,New Orleans (LA),Carver High School
85,Rod Jones,G,6-2,170.0,Alcorn State,Sr,-,Camilla (GA),Dougherty Comprehensive High School
138,Mike Pajeaud,G,6-2,193.0,Alcorn State,Jr,-,New Orleans (LA),Carver High School
89,Jeremiah Kendall,F,6-7,215.0,Alcorn State,Sr,-,Bronx (NY),Brittain Academy
61,Del'Jayvien Harried,G,6-3,175.0,Alcorn State,Jr,-,Natchez (MS),Warren Central High School
178,Alex Tsynkevich,C,6-10,235.0,Alcorn State,Jr,"Oct 23, 2001",Minsk,Spring Creek Academy
176,Dekedran Thorn,GF,6-4,183.0,Alcorn State,Sr,"Oct 13, 2000",Houston (TX),Pearland High School
170,Trevon Stoutermire,F,6-8,200.0,Alcorn State,Jr,-,Calera (AL),Calera High School
174,Lataevyon Taylor,G,6-0,170.0,Alcorn State,Fr,-,Chicago (IL),Simeon Career Academy
88,Byron Joshua,PG,5-10,160.0,Alcorn State,Jr,"Apr 19, 2002",Metairie (LA),Crescent City Christian School
50,"Jeremiah Gambrell, Jr.",PG,6-3,190.0,Alcorn State,Sr,-,Houston (TX),James Madison High School
102,Rodrique Massenat,SF,6-6,193.0,Alcorn State,Sr,-,Hamilton (NJ),Trenton Catholic Academy
18,Cameron Butler,G,6-0,175.0,Alcorn State,Sr,-,Vicksburg (MS),Vicksburg High School
19,Stephen Byard,F,6-8,215.0,Alcorn State,Jr,-,Atlantic City (NJ),Atlantic City High School
14,Djahi Binet,F,6-7,215.0,Alcorn State,Jr,-,Nice,
49,Jalyke Gaines-Wyatt,PG,6-0,186.0,Alcorn State,Fr,-,Wyandanch (NY),St. Anthony's High School
5,"Willie Anderson, Jr.",G,6-4,185.0,Alcorn State,So,-,New Orleans (LA),Carver High School
47,Kevin Firle,G,5-11,180.0,Alcorn State,Fr,-,Collins (MS),Collins High School
144,Ishmael Plet,F,6-8,220.0,Arkansas-Pine Bluff,Sr,-,Lynchburg (VA),Virginia Episcopal School
96,Robert Lewis,F,6-9,180.0,Arkansas-Pine Bluff,So,-,St. Louis (MO),Cardinal Ritter College Prep High School
114,Kylen Milton,F,6-4,190.0,Arkansas-Pine Bluff,Sr,-,Monticello (AR),CORE4 High School Prep
169,Caleb Stokes,C,6-8,210.0,Arkansas-Pine Bluff,Sr,-,Little Rock (AR),Parkview Arts and Science Magnet High School
101,"Lonnell Martin, Jr.",F,6-4,210.0,Arkansas-Pine Bluff,Sr,-,Flint (MI),Grand Blanc High School
149,Zach Reinhart,G,6-6,,Arkansas-Pine Bluff,So,-,Orlando (FL),Potter's House Christian Academy
28,Kuron Coleman,G,6-4,,Arkansas-Pine Bluff,So,-,Newport News (VA),Central Pointe Christian Academy
183,Orion Virden,G,6-1,185.0,Arkansas-Pine Bluff,Sr,-,Little Rock (AR),Mills University Studies High School
48,Joe French,GF,6-5,170.0,Arkansas-Pine Bluff,Sr,"Apr 20, 2000",Orlando (FL),The Master's Academy
198,Rashad Williams,G,6-2,185.0,Arkansas-Pine Bluff,Sr,-,Detroit (MI),Wayne Memorial High School
