,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
159,Jan Zidek,F,6-9,240.0,Chattanooga,Sr,"Dec 13, 1999",Prague,
18,Randy Brady,SG,6-5,215.0,Chattanooga,So,"Oct 18, 2002",Antioch (TN),Hamilton Heights Christian Academy
31,Myles Che,G,6-3,185.0,Chattanooga,Fr,"Mar 15, 2004",Anaheim (CA),Fairmont School
109,Collin Mulholland,C,6-10,190.0,Chattanooga,Fr,-,Kitchener,
39,Sean Cusano,C,6-9,210.0,Chattanooga,Fr,-,Hilton Head (SC),Hilton Head Prep
40,Demetrius Davis,SG,6-9,185.0,Chattanooga,Sr,-,Powder Springs (GA),McEachern High School
13,Trey Bonham,G,6-0,170.0,Chattanooga,Sr,-,Mobile (AL),UMS-Wright Preparatory School
102,Tyler Millin,GF,6-7,205.0,Chattanooga,Sr,"Mar 30, 2000",Calera (AL),The Skill Factory
99,Noah Melson,G,6-6,180.0,Chattanooga,Fr,-,Douglasville (GA),Robert S. Alexander High School
91,Ryan Lopez,G,5-8,175.0,Chattanooga,Fr,-,Ooltewah (TN),Boyd-Buchanan School
84,T.J. Kolbe,G,6-2,175.0,Chattanooga,Fr,-,Hendersonville (TN),Hendersonville High School
61,Honor Huff,G,5-10,155.0,Chattanooga,So,-,Brooklyn (NY),Perkiomen School
4,Sam Alexis,F,6-9,190.0,Chattanooga,So,-,Apopka (FL),Apopka High School
50,Rudy Fitzgibbons III,G,6-0,155.0,Chattanooga,Sr,-,Atlanta (GA),COMBINE Academy
48,Timmy Fasehun,G,6-0,175.0,East Tennessee State,So,-,Livingston (NJ),MacDuffie School
119,Quimari Peterson,G,6-1,185.0,East Tennessee State,Jr,-,Gary (IN),West Side High School
100,David Meriwether,C,6-10,230.0,East Tennessee State,Fr,-,Indianapolis (IN),Lawrence North High School
62,D.J. Hughes,PF,6-7,230.0,East Tennessee State,Jr,-,Indianapolis (IN),Lawrence North High School
75,Jaxson Jones,G,6-4,190.0,East Tennessee State,Fr,-,Council Bluffs (IA),The Skill Factory
67,Braden Ilic,C,6-9,225.0,East Tennessee State,So,-,Morristown (TN),Morristown East High School
115,Jadyn Parker,F,6-10,200.0,East Tennessee State,Jr,-,Shallotte (NC),West Brunswick High School
124,Tyler Rice,G,6-1,180.0,East Tennessee State,Jr,-,Columbia (SC),Ridge View High School
72,Makhi Johnson,G,6-4,180.0,East Tennessee State,Fr,-,Huntington (WV),Huntington Prep
8,Ebby Asamoah,SF,6-5,200.0,East Tennessee State,Sr,-,Rockville (MD),Magruder High School
132,Gabe Sisk,G,6-6,180.0,East Tennessee State,Fr,-,Louisville (KY),Ballard High School
141,Allen Strothers,G,6-1,170.0,East Tennessee State,So,-,Newport News (VA),Menchville High School
15,Karon Boyd,F,6-5,220.0,East Tennessee State,So,-,Concord (NC),Cox Mill High School
136,Justice Smith,GF,6-6,215.0,East Tennessee State,Jr,-,Lyons (NY),Lyons High School
