,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
0,Isaiah Addo-Ankrah,G,6-7,200.0,Denver,Sr,-,Houston (TX),Second Baptist School
85,Josh Lee,G,6-3,185.0,Denver,So,-,Canton (MS),Hartfield Academy
86,Keean Lloyd,G,6-4,190.0,Denver,Fr,-,Aurora (CO),Cherokee Trail High School
87,Pedro Lopez-Sanvicente,C,6-8,220.0,Denver,Jr,"Jan 26, 2002",Madrid,
57,Tyson Garff,PG,6-6,205.0,Denver,So,-,Kaysville (UT),Davis High School
56,Carlos Fuentes,F,6-6,195.0,Denver,Jr,-,Alicante,
39,DeAndre Craig,G,6-0,170.0,Denver,Fr,-,Chicago (IL),Mount Carmel High School
103,Dan Mukuna,F,6-8,195.0,Denver,So,-,Dortmund,Munich International School
35,Isaiah Carr,C,7-0,240.0,Denver,So,-,Las Cruces (NM),Las Cruces High School
34,Devin Carney,G,6-1,180.0,Denver,Fr,"Jun 18, 2003",Butler (PA),Butler Senior High School
27,Tommy Bruner,PG,6-1,180.0,Denver,Sr,"Apr 21, 2001",Columbia (SC),Spring Valley High School
22,Jaxon Brenchley,SG,6-5,200.0,Denver,Sr,-,Hyrum (UT),Mountain Crest High School
17,Ben Bowen,G,6-5,170.0,Denver,So,-,Highlands Ranch (CO),Mountain Vista High School
104,Drake Muller,SG,6-4,205.0,Denver,Sr,"Mar 14, 2002",Addison (TX),Greenhill School
130,Touko Tainamo,C,6-9,220.0,Denver,Jr,"Jan 6, 2001",Helsinki,DME Academy
67,Daniel Hong,G,6-2,175.0,North Dakota,So,-,Barrington (IL),Barrington High School
91,Brian Mathews,F,6-9,240.0,North Dakota,Jr,-,Chicago (IL),DePaul Academy
77,Zach Kraft,G,6-2,,North Dakota,Fr,-,Grand Forks (ND),Red River High School
48,Treysen Eaglestaff,F,6-6,190.0,North Dakota,So,-,Bismarck (ND),Bismarck High School
110,B.J. Omot,F,6-8,175.0,North Dakota,So,"Oct 28, 2003",Mankato (MN),Mankato East High School
40,Brady Danielson,SG,6-4,205.0,North Dakota,Sr,-,York (NE),York High School
136,Tsotne Tsartsidze,SF,6-9,235.0,North Dakota,Sr,"Mar 28, 2000",Modesto (CA),Modesto Christian High School
70,Tyree Ihenacho,G,6-4,195.0,North Dakota,Jr,-,Prior Lake (MN),Prior Lake High School
52,Ryan Erikson,FC,6-10,,North Dakota,Fr,-,Bismarck (ND),Century High School
88,Mambourou Mara,G,6-6,190.0,North Dakota,Fr,"Aug 3, 2003",Conakry,Royal Crown Academic School
92,Deng Mayar,F,6-9,175.0,North Dakota,Sr,-,Salt Lake City (UT),Judge Memorial Catholic High School
80,Amar Kuljuhovic,F,6-9,230.0,North Dakota,Jr,-,Waterloo (IA),Waterloo West High School
46,Anthony Doppler,G,6-4,,North Dakota,Fr,-,Bismarck (ND),Century High School
16,Matthew Bothun,F,6-9,,North Dakota,Fr,-,St. Francis (MN),St. Francis High School
23,Elijah Brooks,GF,6-4,195.0,North Dakota,So,-,Topeka (KS),Topeka West High School
74,Eli King,GF,6-3,182.0,North Dakota,So,-,Caledonia (MN),Caledonia High School
126,Joshua Streit,F,6-9,235.0,North Dakota State,Jr,-,Watkins (MN),Eden Valley Watkins High School
44,Darik Dissette,F,6-4,,North Dakota State,Fr,-,Minot (ND),Minot High School
141,Jacari White,SG,6-3,170.0,North Dakota State,Jr,-,Orlando (FL),Olympia High School
100,Andrew Morgan,F,6-10,245.0,North Dakota State,Jr,-,Waseca (MN),Waseca High School
137,Lance Waddles,G,6-3,180.0,North Dakota State,So,-,Shreveport (LA),Evangel Christian Academy
96,Tajavis Miller,G,6-4,190.0,North Dakota State,So,-,Anaheim (CA),Wolfforth Frenship High School
108,Mark Nikolich-Wilson,FC,6-8,280.0,North Dakota State,Fr,-,Arlington Heights (IL),Rolling Meadows High School
54,Noah Feddersen,C,6-10,230.0,North Dakota State,Fr,-,Menomonie (WI),Menomonee Falls High School
139,Damari Wheeler-Thomas,G,6-0,175.0,North Dakota State,So,-,Elgin (IL),Larkin High School
19,Eli Bradley,G,6-4,150.0,North Dakota State,Fr,-,Santa Ana (CA),Bishop Gorman High School
121,Boden Skunberg,F,6-5,205.0,North Dakota State,Jr,-,Jamestown (ND),Jamestown High School
62,Sam Hastreiter,F,6-7,210.0,North Dakota State,So,-,Lincoln (NE),Pius X High School
122,Ryan Sletten,G,6-4,170.0,North Dakota State,So,-,Larimore (ND),Larimore High School
33,Jeremiah Burke,F,6-7,210.0,North Dakota State,Jr,-,Milwaukee (WI),St. Francis High School
55,Frank Fidler,F,6-7,205.0,Omaha,Jr,"Apr 25, 2003",Bellevue (NE),Bellevue West High School
89,Jaeden Marshall,GF,6-4,205.0,Omaha,Jr,-,Hinesville (GA),Richmond Hill High School
60,Ja'Sean Glover,G,6-4,170.0,Omaha,So,"Sep 10, 2003",Madelia (MN),Madelia High School
140,J.J. White,G,6-2,180.0,Omaha,Jr,"Jul 12, 2003",Norman (OK),Norman North High School
73,Luke Jungers,F,6-9,200.0,Omaha,So,"Apr 21, 2004",Omaha (NE),Creighton Preparatory School
6,Jamal Ambrose,C,6-10,250.0,Omaha,Fr,-,Apple Valley (MN),Eastview High School
42,Madelo Deng,C,7-1,220.0,Omaha,Fr,-,Turalei,Omaha Central High School
41,Nick Davis,C,6-9,220.0,Omaha,Sr,-,Arlington (TX),Mansfield Summit High School
30,Marcel Bryant,F,6-7,225.0,Omaha,Fr,-,Round Rock (TX),Cedar Ridge High School
112,Tony Osburn,G,6-2,170.0,Omaha,So,-,Fairfax (MO),Mound City High School
113,Lincoln Palbicki,C,6-9,235.0,Omaha,Jr,-,Maple Grove (MN),Maple Grove Senior High School
114,Sebastian Perry,G,6-1,170.0,Omaha,Fr,-,Oklahoma City (OK),Heritage Hall High School
129,Marquel Sutton,F,6-8,215.0,Omaha,Jr,"Jan 11, 2003",Tulsa (OK),Will Rogers High School
21,Landon Braun,F,6-6,215.0,Omaha,Fr,-,Overland Park (KS),Blue Valley Northwest High School
71,Biko Johnson,G,6-2,170.0,Omaha,Jr,-,Carson (CA),King Drew Magnet High School
127,Grant Stubblefield,G,6-1,180.0,Omaha,Fr,-,Overland Park (KS),Blue Valley Northwest High School
