,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
62,Dawson Fennema,G,6-2,170.0,Appalachian State,Fr,-,Raleigh (NC),Jesse O. Sanderson High School
187,Myles Tate,G,6-0,170.0,Appalachian State,Sr,-,Roebuck (SC),Dorman High School
130,Jordan Marsh,G,5-10,165.0,Appalachian State,Fr,-,Mouth of Wilson (VA),Moravian Prep
30,Xavion Brown,G,6-3,180.0,Appalachian State,Sr,-,Sacramento (CA),Sheldon High School
85,Terence Harcum,G,6-3,190.0,Appalachian State,Jr,-,Butner (NC),Granville Central High School
90,Joshua Hayes,F,6-9,220.0,Appalachian State,Fr,-,Gainesville (FL),Gainesville High School
81,Donovan Gregory,GF,6-5,190.0,Appalachian State,Sr,-,Matthews (NC),Carmel Christian School
119,Luke Ledford,G,6-3,190.0,Appalachian State,Fr,-,Raleigh (NC),Broughton High School
127,Chris Mantis,F,6-7,185.0,Appalachian State,Jr,-,Lowell (IN),Lowell High School
183,Etienne Strothers,G,6-2,170.0,Appalachian State,Fr,-,Newport News (VA),Menchville High School
96,C.J. Huntley,F,6-11,221.0,Appalachian State,Sr,-,Huntersville (NC),Davidson Day School
180,Tre'von Spillers,F,6-7,205.0,Appalachian State,Jr,-,Charleston (SC),Military Magnet Academy
214,Luke Wilson,C,6-9,285.0,Appalachian State,Fr,-,Martinez (GA),Augusta Christian School
1,Justin Abson,F,6-9,235.0,Appalachian State,So,-,Coconut Creek (FL),North Broward Preparatory School
80,Bryant Greene,G,6-1,175.0,Appalachian State,Sr,-,Boone (NC),Watauga High School
52,Dyondre Dominguez,PF,6-9,200.0,Arkansas State,Sr,"Sep 8, 2000",Providence (RI),New Hampton School
91,Freddy Hicks,F,6-6,210.0,Arkansas State,Sr,"May 13, 2002",Searcy (AR),Searcy High School
47,Obadiah Curtis,GF,6-5,195.0,Arkansas State,Sr,-,Fresno (CA),Edison High School
123,Julian Lual,F,6-6,196.0,Arkansas State,Sr,-,Calgary,Central Pointe Christian Academy
134,Noah McDavid,G,6-5,185.0,Arkansas State,Jr,-,Dallas (TX),Lake Highlands High School
181,Jacob St. Clair,G,6-3,160.0,Arkansas State,Fr,-,Sand Rock (AL),Sand Rock High School
34,Zane Butler,G,5-11,155.0,Arkansas State,Jr,-,Paragould (AR),Link Year Prep
193,Taryn Todd,PG,6-4,180.0,Arkansas State,Sr,"Sep 6, 2001",Vaughan,Findlay College Prep
59,Malcolm Farrington,G,6-3,202.0,Arkansas State,Jr,"Oct 31, 1999",St. Croix (VI),Believe Prep
61,Avery Felts,G,6-2,190.0,Arkansas State,Jr,-,Jonesboro (AR),Jonesboro High School
149,Izaiyah Nelson,C,6-10,212.0,Arkansas State,So,-,Marietta (GA),Marietta High School
64,Caleb Fields,PG,6-0,192.0,Arkansas State,Sr,-,Lewisburg (TN),ASPIRE Basketball Academy
115,Lado Laku,C,6-10,220.0,Arkansas State,Sr,-,Dallas (TX),Lake Highlands High School
67,Derrian Ford,G,6-3,205.0,Arkansas State,So,-,Magnolia (AR),Magnolia High School
68,"Terrance Ford, Jr.",G,6-1,175.0,Arkansas State,So,"Sep 29, 2003",Chicago (IL),Leo Catholic High School
86,Laquill Hardnett,SF,6-8,205.0,Arkansas State,Sr,"Sep 26, 1999",Nottingham (MD),Perry Hall High School
0,Henry Abraham,G,6-0,185.0,Coastal Carolina,Jr,-,Cambridge (MN),Cambridge-Isanti High School
55,"Kevin Easley, Jr.",SF,6-7,230.0,Coastal Carolina,Sr,"Dec 10, 1999",Indianapolis (IN),Lawrence North High School
78,Ian Granja,F,6-7,190.0,Coastal Carolina,So,"Mar 7, 2003",Barcelona,
182,Miroslav Stafl,C,6-11,250.0,Coastal Carolina,Sr,"Nov 17, 1999",Liberec,Get Better Academy
107,Joey Kahn,G,6-4,190.0,Coastal Carolina,Jr,-,Mobile (AL),St. Paul's Episcopal School
70,Brayon Freeman,SG,6-2,180.0,Coastal Carolina,Jr,-,Hyattsville (MD),Huntington Prep
160,John Ojiako,SF,6-10,245.0,Coastal Carolina,Sr,"Jun 15, 2000",Lagos,Admiral Farragut Academy
151,"Jimmy Nichols, Jr.",SF,6-8,225.0,Coastal Carolina,Sr,"Jul 6, 2000",Conway (SC),Conway High School
173,Jon Sanders,G,6-2,180.0,Coastal Carolina,Jr,-,Detroit (MI),
139,Jacob Meyer,GF,6-2,195.0,Coastal Carolina,Fr,-,Louisville (KY),Holy Cross High School
13,Trevor Barrett,G,6-3,180.0,Coastal Carolina,Fr,-,Cary (NC),Trinity Academy
206,Jaland Whitehead,C,6-9,225.0,Coastal Carolina,Sr,-,Grand Rapids (MI),Ottawa Hills High School
18,Kylan Blackmon,G,6-3,200.0,Coastal Carolina,Jr,-,Oxford (MS),Oxford High School
175,Marcus Saunders,G,6-2,195.0,Coastal Carolina,So,-,Myrtle Beach (SC),Christian Academy High School
125,Braeden Macvicar,C,6-11,220.0,Coastal Carolina,Fr,-,Rothesay,Rothesay Netherwood School
177,Pierce Shirk,G,6-4,200.0,Georgia Southern,Fr,-,Jacksonville (FL),The Bolles School
192,Malik Tidwell,PG,5-11,200.0,Georgia Southern,Sr,-,Chicago Heights (IL),Prolific Prep
163,Avantae Parker,F,6-9,212.0,Georgia Southern,Fr,-,Columbia (SC),Gray Collegiate Academy
145,Tyren Moore,SG,5-11,185.0,Georgia Southern,Jr,-,Louisville (KY),Louisville Male High School
12,Eren Banks,G,6-4,175.0,Georgia Southern,Fr,-,Eatonton (GA),Putnam County High School
135,Johnny McFatten,F,6-8,210.0,Georgia Southern,Sr,"May 9, 2001",Douglas (GA),Coffee High School
88,"Derrick Harris, Jr.",G,6-3,180.0,Georgia Southern,So,-,Camilla (GA),Mitchell-Baker High School
50,Deuce Dean,PG,6-4,190.0,Georgia Southern,Sr,-,Irmo (SC),Dutch Fork High School
109,Luke Keller,F,6-7,225.0,Georgia Southern,Jr,-,Suwanee (GA),North Gwinnett High School
69,Jamar Franklin,G,6-3,170.0,Georgia Southern,So,-,Rockledge (FL),
103,David Jones,F,6-8,195.0,Georgia Southern,Sr,-,Sacramento (CA),Woodstock Academy
32,Tyler Bush,F,6-5,198.0,Georgia Southern,Jr,-,Union (KY),Ryle High School
27,Eugene Brown III,SF,6-8,200.0,Georgia Southern,Sr,-,Decatur (GA),Southwest DeKalb High School
31,Cam Bryant,F,6-7,205.0,Georgia Southern,Sr,"Dec 7, 2001",Hampton (GA),Dutchtown High School
24,Nate Brafford,F,6-9,180.0,Georgia Southern,So,-,Waynesville (NC),Rabun Gap-Nacoochee High School
46,Carlos Curry,F,6-11,240.0,Georgia Southern,Sr,"Dec 6, 1999",Albany (GA),Dougherty Comprehensive High School
113,Collin Kuhl,F,6-7,205.0,Georgia Southern,Fr,-,Holly Springs (NC),Holly Springs High School
118,Toneari Lane,SF,6-5,205.0,Georgia State,Jr,-,Lilburn (GA),Grayson High School
126,Jamaine Mann,SG,6-6,230.0,Georgia State,Sr,-,McDonough (GA),Starr's Mill High School
188,Lucas Taylor,F,6-5,200.0,Georgia State,Jr,-,Wake Forest (NC),Heritage High School
128,D.K. Manyiel,C,7-0,200.0,Georgia State,Fr,-,Decatur (GA),Greenforest Christian High School
124,Julian Mackey,G,6-2,170.0,Georgia State,Jr,-,Grayson (GA),The Skill Factory
153,Leslie Nkereuwem,F,6-8,232.0,Georgia State,Sr,-,Lawrenceville (GA),Discovery High School
154,Edward Nnamoko,C,6-10,225.0,Georgia State,So,-,Lagos,Riviera Preparatory School
159,Aaron Oh,G,6-0,185.0,Georgia State,Fr,-,Buford (GA),Mill Creek High School
158,Dwon Odom,PG,6-2,182.0,Georgia State,Sr,"Nov 8, 2000",Alpharetta (GA),Saint Francis High School
38,Brevyn Coleman,G,6-1,185.0,Georgia State,Fr,-,Lakewood (OH),St. Edward High School
48,Matt Davis,SG,6-7,195.0,Georgia State,Jr,-,Johns Creek (GA),The Skill Factory
63,Malik Ferguson,G,6-4,188.0,Georgia State,Fr,-,Grovetown (GA),Grovetown High School
197,Jay'Den Turner,GF,6-5,205.0,Georgia State,Sr,-,High Point (NC),Southwest Guilford High School
195,Brenden Tucker,PG,6-3,195.0,Georgia State,Sr,"Jan 7, 2001",Dacula (GA),Dacula High School
23,"Rickey Bradley, Jr.",G,6-2,185.0,Georgia State,So,-,Milwaukee (WI),PPHoenix College Prep
207,Michael Whitmore,PG,5-11,165.0,Georgia State,Jr,-,College Park (GA),Woodward Academy
79,Michael Green III,PG,6-0,155.0,James Madison,Sr,-,New York (NY),St. Michael's High School
215,Julien Wooden,SF,6-8,225.0,James Madison,Sr,-,Roanoke (VA),Northside High School
