,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
116,Muo Dubem Muoneke,G,6-5,218.0,Abilene Christian,So,-,Cypress (TX),Cypress Ranch High School
133,Yaniel Rivera,G,6-4,,Abilene Christian,Fr,"Dec 17, 2004",San Juan (PR),
139,J.V. Seat,PF,6-3,240.0,Abilene Christian,So,-,Edmond (OK),Edmond Memorial High School
76,Ma'Shy Hill,F,6-8,215.0,Abilene Christian,Fr,-,Pflugerville (TX),St. Michael's Catholic Academy
146,Airion Simmons,PF,6-5,264.0,Abilene Christian,Sr,"Oct 4, 2000",Little Rock (AR),Parkview Arts and Science Magnet High School
16,Leonardo Bettiol,PF,6-8,214.0,Abilene Christian,So,"Sep 26, 2002",Roncade,
154,Cameron Steele,F,6-8,205.0,Abilene Christian,Sr,-,Excelsior (MN),Minnetonka High School
39,Nasir DeGruy,GF,6-4,180.0,Abilene Christian,So,-,New Orleans (LA),St. Augustine High School
160,Colby Tanner,G,5-10,160.0,Abilene Christian,So,-,Abilene (TX),Wylie High School
107,Kavion McClain,G,5-10,155.0,Abilene Christian,Jr,-,Memphis (TN),Whitehaven High School
103,Hunter-Jack Madden,G,6-2,190.0,Abilene Christian,Sr,"Mar 18, 2001",Sydney,Shore School
41,Ali Abdou Dibba,G,6-4,185.0,Abilene Christian,Jr,"May 23, 2001",Stockholm,Central Pointe Christian Academy
4,Immanuel Allen,SG,6-4,215.0,Abilene Christian,Sr,"Nov 19, 1999",Lake Oswego (OR),Shadow Mountain High School
84,Aidan Igiehon,C,6-10,250.0,Abilene Christian,Sr,"Aug 17, 2000",Woodmere (NY),Lawrence Woodmere Academy
33,Brady Cook,G,6-3,185.0,California Baptist,Fr,-,Walnut Creek (CA),Northgate High School
132,Tylen Riley,G,6-3,,California Baptist,Fr,-,Las Vegas (NV),Durango High School
170,Scotty Washington,G,6-4,180.0,California Baptist,So,-,Bellflower (CA),St. John Bosco High School
37,"Dominique Daniels, Jr.",G,5-10,,California Baptist,So,-,Compton (CA),
169,Malik Wade,PF,6-8,235.0,California Baptist,Jr,"Jan 15, 2001",Muqui,NBA Academy Latin America
86,Tyler Isaak,G,6-3,185.0,California Baptist,Fr,-,Alamo (CA),San Ramon Valley High School
161,Blondeau Tchoukuiengo,PG,6-2,185.0,California Baptist,Sr,-,Montreal,Cegep de Sainte-Foy
68,Jonathan Griman,F,6-8,201.0,California Baptist,Fr,"Aug 10, 2004",Caracas,
155,Brantly Stevenson,G,6-4,185.0,California Baptist,Sr,-,Etiwanda (CA),Etiwanda High School
