,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
69,Luka Krajnovic,F,6-5,185.0,Gonzaga,Fr,"Apr 27, 2004",Zagreb,
57,Braden Huff,PF,6-10,242.0,Gonzaga,Fr,-,Carol Stream (IL),Glenbard West High School
59,Graham Ike,F,6-9,240.0,Gonzaga,Jr,"Aug 3, 2002",Aurora (CO),Overland High School
43,Ben Gregg,F,6-10,230.0,Gonzaga,Jr,-,Portland (OR),Clackamas High School
34,Joe Few,G,6-0,170.0,Gonzaga,Jr,-,Seattle (WA),Gonzaga Preparatory School
92,Ryan Nembhard,PG,6-0,175.0,Gonzaga,Jr,"Mar 10, 2003",Vaughan,Montverde Academy
16,Colby Brooks,F,6-7,215.0,Gonzaga,Sr,-,Los Angeles (CA),Loyola High School
115,Pavle Stosic,F,6-9,215.0,Gonzaga,Fr,"Jan 18, 2004",Nis,
116,Dusty Stromer,GF,6-6,192.0,Gonzaga,Fr,"Aug 9, 2003",Northridge (CA),Notre Dame High School
54,Nolan Hickman,G,6-2,183.0,Gonzaga,Jr,"May 7, 2003",Kent (WA),Wasatch Academy
137,Jun Seok Yeo,F,6-8,215.0,Gonzaga,Fr,"Mar 19, 2002",Seoul,
126,Steele Venters,F,6-7,195.0,Gonzaga,Sr,"May 16, 2001",Ellensburg (WA),Ellensburg High School
129,Anton Watson,SF,6-8,228.0,Gonzaga,Sr,"Oct 6, 2000",Spokane (WA),Gonzaga Preparatory School
3,Joaquim Arauz-Moore,G,6-1,170.0,Gonzaga,Fr,-,Ross (CA),The Branson School
118,Lars Thiemann,C,7-1,260.0,Loyola Marymount,Sr,"May 22, 2000",Leverkusen,
134,Justin Wright,PG,6-2,195.0,Loyola Marymount,Sr,-,Greenville (NC),Farmville Central High School
47,Dominick Harris,SG,6-3,185.0,Loyola Marymount,Sr,"Jan 3, 2002",Murrieta (CA),Rancho Christian School
60,Rick Issanza,C,7-1,240.0,Loyola Marymount,Sr,-,Los Angeles (CA),Bella Vista College Prep
63,Will Johnston,G,6-3,180.0,Loyola Marymount,Sr,-,Sydney,The King's Academy
42,Michael Graham,F,6-8,225.0,Loyola Marymount,Sr,"Sep 1, 2000",Brooklyn (NY),Canterbury School
71,Keli Leaupepe,F,6-6,240.0,Loyola Marymount,Sr,"Jun 4, 2000",Melbourne,Box Hill High School
73,Lamaj Lewis,F,6-6,200.0,Loyola Marymount,Jr,-,Bellflower (CA),St. John Bosco High School
83,Aaron McBride,F,6-6,200.0,Loyola Marymount,Fr,-,Corona (CA),Centennial High School
124,George Tupy,F,6-6,225.0,Loyola Marymount,Fr,-,Sierra Madre (CA),Saint Francis High School
55,Justice Hill,PG,6-0,175.0,Loyola Marymount,Sr,"May 14, 2000",Little Rock (AR),Little Rock Christian High School
87,Alex Merkviladze,SF,6-8,230.0,Loyola Marymount,Sr,"Mar 11, 2002",Kutaisi,Modesto Christian High School
21,Kevin Carney,G,5-11,170.0,Loyola Marymount,So,-,Menlo Park (CA),Sacred Heart Cathedral Preparatory
117,Noah Taitz,SG,6-3,190.0,Loyola Marymount,Sr,"Feb 16, 2001",Las Vegas (NV),Bishop Gorman High School
105,Jovan Ristic,GF,6-5,205.0,Loyola Marymount,Fr,"Jan 18, 2004",Belgrade,Calusa Preparatory School
7,Tyler Beard,G,6-2,180.0,Pacific,Jr,-,Chicago (IL),Hargrave Military Academy
14,Nick Blake,PG,6-6,220.0,Pacific,Jr,"May 9, 2001",Las Vegas (NV),IMG Academy
45,"Lesown Hallums, Jr.",G,6-2,190.0,Pacific,Jr,-,Brooklyn (NY),Prospect Heights High School
17,Jalen Brown,G,6-3,170.0,Pacific,Sr,-,Vancouver (WA),Jefferson High School
111,Burke Smith,C,6-11,232.0,Pacific,Sr,-,Richmond (VA),Trinity Episcopal School
138,Tan Yildizoglu,G,6-4,187.0,Pacific,Fr,"Jan 1, 2004",Istanbul,
37,Villiam Garcia Adsten,F,6-8,210.0,Pacific,Fr,"Apr 14, 2004",Stockholm,
96,Moe Odum,G,6-1,160.0,Pacific,So,-,New York (NY),West Oak Academy
132,Donovan Williams,PG,6-5,200.0,Pacific,Sr,"Mar 10, 2001",Ina (IL),North Star High School
